Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Norfolk South West;Mrs G P Shephard;9;Norfolk;77652;33637;16706;11237;0;0;0
Normanton;W O'Brien;5;West Yorkshire;65562;16986;25936;7137;0;0;0
Northampton North;A R Marlow;8;Northamptonshire;69139;24865;20957;8236;0;0;232
Northampton South;M W L Morris;8;Northamptonshire;83477;36882;19909;9912;0;0;0
Northavon;Rt Hon Sir John A Cope;10;Bristol Area;83496;35338;10290;23477;0;0;1169
Norwich North;H P Thompson;9;Norfolk;63308;22419;22153;6706;0;0;526
Norwich South;J L Garrett;9;Norfolk;63603;18784;24965;6609;0;0;907
Norwood;J D Fraser;11;Lambeth;52496;11175;18391;4087;0;0;928
Nottingham East;J B Heppell;8;Nottinghamshire;67939;17346;25026;3695;0;0;1548
Nottingham North;G W Allen;8;Nottinghamshire;69494;18309;29052;4477;0;0;274
Nottingham South;A Simpson;8;Nottinghamshire;72796;22590;25771;5408;0;0;263
Nuneaton;W J Olner;7;Warwickshire;70906;25526;27157;6671;0;0;0
Old Bexley and Sidcup;Rt Hon E R G Heath MBE;11;Bexley;49449;24450;8751;6438;0;0;881
Oldham Central and Royton;B Davies;4;Eastern Manchester;61333;14640;23246;7224;0;0;403
Oldham West;M H Meacher;4;Eastern Manchester;54063;13247;21580;5525;0;0;551
Orpington;J R Horam;11;Bromley;57318;27421;5512;14486;0;0;539
Oxford East;A D Smith;12;Oxfordshire;63075;16164;23702;6105;0;0;1082
Oxford West and Abingdon;Rt Hon J H C Patten;12;Oxfordshire;72328;25163;7652;21624;0;0;1027
Peckham;Ms H R Harman;11;Southwark;58269;7386;19391;4331;0;0;286
Pendle;G Prentice;4;Lancashire;64063;21384;23497;7976;0;0;263
Penrith and The Border;D J Maclean;4;Cumbria;73769;33808;8871;15359;0;0;739
Peterborough;B S Mawhinney PhD;9;Cambridgeshire;87638;31827;26451;5208;0;0;2354
Plymouth Devonport;D C Jamieson;10;Devon;65799;17541;24953;6315;0;2152;255
Plymouth Drake;Dame Janet E Fookes;10;Devon;51667;17075;15062;5893;0;0;1012
Plymouth Sutton;G Streeter;10;Devon;67430;27070;15120;12291;0;0;256
Pontefract and Castleford;G Lofthouse;5;West Yorkshire;64648;10051;33546;4410;0;0;0
Poole;J D Ward CBE;10;Dorset;79221;33445;6912;20614;0;0;1923
Portsmouth North;P H S Griffiths;12;Hampshire;79592;32240;18359;10101;0;0;628
Portsmouth South;D J P Martin;12;Hampshire;77645;22798;7857;22556;0;0;440
Preston;Mrs A Wise;4;Lancashire;64158;12808;24983;7897;0;0;341
Pudsey;Sir J Giles D Shaw;5;West Yorkshire;70847;25067;16095;15153;0;0;466
Putney;Rt Hon D J Mellor QC;11;Wandsworth;61914;25188;17662;4636;0;0;757
Ravensbourne;Sir John L Hunt;11;Bromley;57259;29506;6182;9792;0;0;1040
Reading East;Sir Gerard F Vaughan;12;Berkshire;72151;29148;14593;9528;0;0;861
Reading West;Sir R Anthony B Durant;12;Berkshire;67937;28048;14750;9572;0;0;613
Redcar;Dr M Mowlam;3;Teesside;62494;15607;27184;5789;0;0;0
Reigate;Sir George A Gardiner;12;Surrey;71853;32220;9150;14556;0;0;513
Ribble South;R J Atkins;4;Lancashire;78173;30828;24855;8928;0;0;269
Ribble Valley;N M Evans;4;Lancashire;64996;29178;3649;22636;0;0;264
Richmond;W J Hague;5;North Yorkshire;82879;40202;7523;16698;0;0;570
Richmond and Barnes;J J Hanley;11;Richmond upon Thames;53081;22894;2632;19025;0;0;574
Rochdale;Ms E Lynne;4;Eastern Manchester;69522;8626;20937;22776;0;0;831
Rochford;Dr M Clark;9;Essex;76869;38967;10537;12931;0;0;1362
Romford;Sir Michael J Neubert;11;Havering;54001;23834;12414;5329;0;0;546
Romsey and Waterside;M K B Colvin;12;Hampshire;82628;37375;8688;22071;0;0;577
Rossendale and Darwen;Mrs J Anderson;4;Lancashire;76909;27908;28028;7226;0;0;721
Rother Valley;K J Barron;5;South Yorkshire;68303;13755;30977;6483;0;0;0
Rotherham;J Boyce;5;South Yorkshire;60937;10372;27933;5375;0;0;0
Rugby and Kenilworth;J F Pawsey;7;Warwickshire;77766;34110;20863;9934;0;0;202
Ruislip-Northwood;J A D Wilkinson;11;Hillingdon;54151;28097;8306;7739;0;0;214
Rushcliffe;Rt Hon K H Clarke QC;8;Nottinghamshire;76253;34448;14682;12660;0;0;1536
Rutland and Melton;A J C Duncan;8;Leicestershire;80976;38603;13068;12682;0;0;1098
Ryedale;J R Greenway;5;North Yorkshire;87048;39888;9812;21449;0;0;0
Saffron Walden;A G B Haselhurst;9;Essex;74878;35272;8933;17848;0;0;260
Salford East;Rt Hon S Orme;4;Central Manchester;52616;9092;20327;3836;0;0;613
Salisbury;S R Key;10;Wiltshire;75916;31546;5483;22573;0;0;1052
Scarborough;J D Sykes;5;North Yorkshire;76364;29334;17600;11133;0;0;876
Sedgefield;A C L Blair;3;Durham;61024;13594;28453;4982;0;0;0
Selby;Rt Hon M J H Alison;5;North Yorkshire;77178;31067;21559;9244;0;0;0
Sevenoaks;G M Wolfson;12;Kent;71050;33245;9470;14091;0;0;996
Sheffield Attercliffe;C J C Betts;5;South Yorkshire;69177;13083;28563;7283;0;0;751
Sheffield Brightside;D Blunkett;5;South Yorkshire;63810;7090;29771;5273;0;0;150
Sheffield Central;R G Caborn;5;South Yorkshire;59059;5470;22764;3856;0;0;1054
Sheffield Hallam;C I Patnick;5;South Yorkshire;76584;24693;10930;17952;0;0;673
Sheffield Heeley;W Michie;5;South Yorkshire;70953;13051;28005;9247;0;0;0
Sheffield Hillsborough;Mrs H Jackson;5;South Yorkshire;77343;20500;27568;11640;0;0;0
Sherwood;S P Tipping;8;Nottinghamshire;73354;26878;29788;6039;0;0;0
Shipley;Sir J Marcus Fox MBE;5;West Yorkshire;68816;28463;16081;11288;0;0;680
Shoreham;B M L Stephen;12;West Sussex;71252;32670;6123;18384;0;0;659
Shrewsbury and Atcham;D L Conway;7;Shropshire;70620;26681;15157;15716;0;0;677
Shropshire North;Rt Hon W J Biffen;7;Shropshire;82675;32443;15550;16232;0;0;0
Skipton and Ripon;D M Curry;5;North Yorkshire;75628;35937;8978;16607;0;0;0
Slough;J A Watts;12;Berkshire;73889;25793;25279;4041;0;0;2702
Solihull;J M Taylor;7;Coventry and Solihull;77303;38385;10544;13239;0;0;925
Somerton and Frome;M N F Robinson;10;Somerset;71354;28052;6154;23711;0;0;1130
South Hams;A D Steen;10;Devon;83061;35951;8091;22240;0;0;1073
South Shields;D G Clark PhD;3;Newcastle area;59392;11399;24876;5344;0;0;0
Southampton Itchen;J V Denham;12;Hampshire;72104;23851;24402;7221;0;0;0
Southampton Test;S J A Hill;12;Hampshire;72932;24504;23919;7391;0;0;636
Southend East;Sir Edward M Taylor;9;Essex;56708;24591;11480;5107;0;0;673
Southend West;Rt Hon H P G Channon;9;Essex;64198;27319;6139;15417;0;0;1073
Southport;M Banks;4;Merseyside;71443;26081;5637;23018;0;0;704
Southwark and Bermondsey;S H W Hughes;11;Southwark;60251;3794;11614;21459;0;0;867
Spelthorne;D Wilshire;12;Surrey;69343;32627;12784;9202;0;0;1113
St Albans;Rt Hon P B Lilley;9;Hertfordshire;74188;32709;12016;16305;0;0;895
St Helens North;J Evans;4;Merseyside;71261;15686;31930;7224;0;0;287
St Helens South;G E Bermingham;4;Merseyside;67507;12182;30391;6933;0;0;295
St Ives;D A Harris;10;Cornwall;71152;24528;9144;22883;0;0;577
Stafford;W N P Cash;7;Staffordshire;74663;30876;19976;10702;0;0;354
Staffordshire Mid;M L D Fabricant;7;Staffordshire;73414;31227;24991;6432;0;0;239
Staffordshire Moorlands;D L Knox;7;Staffordshire;75036;29240;21830;9326;0;0;2382
Staffordshire South;P T Cormack;7;Staffordshire;82758;40266;17633;9584;0;0;0
Staffordshire South East;D L Lightbown;7;Staffordshire;70199;29180;21988;5540;0;0;895
Stalybridge and Hyde;T Pendry;4;Eastern Manchester;68189;17376;26207;4740;0;0;1774
Stamford and Spalding;J Q Davies;8;Lincolnshire;75153;35965;13096;11939;0;0;0
Stevenage;T J R Wood;9;Hertfordshire;70233;26652;21764;9668;0;0;233
Stockport;Ms M A Coffey;4;Eastern Manchester;58095;19674;21096;6539;0;0;486
Stockton North;F Cook;3;Teesside;69451;17444;27918;7454;0;0;550
Stockton South;T R Devlin;3;Teesside;75959;28418;25049;9410;0;0;0
Stoke-on-Trent Central;M Fisher;7;Staffordshire;65527;12477;25897;6073;0;0;196
Stoke-on-Trent North;Ms J L Walley;7;Staffordshire;73141;15687;30464;7167;0;0;387
Stoke-on-Trent South;G W Stevenson;7;Staffordshire;71316;19471;26380;6870;0;0;291
Stratford-on-Avon;A T Howarth CBE;7;Warwickshire;82824;40251;8932;17359;0;0;1432
Streatham;T K Hill;11;Lambeth;56825;16608;18925;2858;0;0;839
Stretford;A J Lloyd;4;Central Manchester;54467;11163;22300;3722;0;0;268
Stroud;R M Knapman;10;Gloucestershire;82553;32201;18796;16751;0;0;2005
Suffolk Central;M N Lord;9;Suffolk;82735;32917;15615;16886;0;0;990
Suffolk Coastal;Rt Hon J S Gummer;9;Suffolk;79333;34680;13508;15395;0;0;1175
Suffolk South;T S K Yeo;9;Suffolk;84833;34793;16623;17504;0;0;420
Sunderland North;W Etherington;3;Newcastle area;72874;13477;30481;5389;0;0;841
Sunderland South;C J Mullin;3;Newcastle area;72607;14898;29399;5844;0;0;596
Surbiton;R P Tracey;11;Kingston upon Thames;42421;19033;6384;9394;0;0;161
Surrey East;P M Ainsworth;12;Surrey;57878;29767;5075;12111;0;0;819
Surrey North West;Sir W Michael J Grylls;12;Surrey;83648;41772;8886;13378;0;0;1441
Surrey South West;Mrs V H B M Bottomley;12;Surrey;72288;35008;3840;20033;0;0;955
Sussex Mid;Rt Hon R T Renton;12;West Sussex;80827;39524;6951;18996;0;0;1499
Sutton and Cheam;Lady O Maitland;11;Sutton;60949;27710;4980;16954;0;0;577
Sutton Coldfield;Rt Hon Sir P Norman Fowler;7;Birmingham;71410;37001;8490;10965;0;0;324
Swindon;S C Coombs;10;Wiltshire;90067;31749;28923;11737;0;0;961
Tatton;M N Hamilton;4;Cheshire;71085;31658;15798;9597;0;0;410
Taunton;D J Nicholson;10;Somerset;78036;29576;8151;26240;0;0;279
