Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Abingdon;AMS Neave;12;Berkshire;63844;27943;16971;6651;0;0;0
Accrington;H Hynd;4;Lancashire;49933;21642;22242;0;0;0;0
Acton;PW Holland;11;Ealing;46835;19358;18438;0;0;0;0
Aldershot;E Errington;12;Hampshire;56820;25161;12270;5679;0;0;0
Altrincham and Sale;FJ Erroll;4;Central Manchester;64860;29992;14141;9415;0;0;0
Arundel and Shoreham;HB Kerby;12;West Sussex;75601;37034;12745;8081;0;0;0
Ashfield;WN Warbey;8;Nottinghamshire;61139;14690;35432;0;0;0;0
Ashford;WF Deedes;12;Kent;52097;25383;14983;0;0;0;0
Ashton-under-Lyne;H Rhodes;4;Eastern Manchester;60706;23239;25991;0;0;0;0
Aylesbury;GS Summers;12;Buckinghamshire;54089;22504;13549;7897;0;0;0
Banbury;HN Marten;12;Oxfordshire;64414;26413;19699;6074;0;0;0
Barking;TEN Driberg;11;Barking and Dagenham;51654;11454;23454;5648;0;0;0
Barkston Ash;L Ropner;5;North Yorkshire;54448;26200;18647;0;0;0;0
Barnet;R Maudling;11;Barnet;64739;33136;19737;0;0;0;0
Barnsley;R Mason;5;South Yorkshire;69833;15189;42565;0;0;0;0
Barons Court;WC Carr;11;Hammersmith and Fulham;50032;18658;17745;0;0;0;1766
Barrow-in-Furness;W Monslow;4;Cumbria;51904;19220;23194;0;0;0;0
Basingstoke;DK Freeth;12;Hampshire;60979;25314;14070;9126;0;0;0
Bassetlaw;J Bellenger;8;Nottinghamshire;59907;20162;27875;0;0;0;0
Bath;IJ Pitman;10;Bristol Area;57150;24048;17515;6214;0;0;0
Batley and Morley;ADD Broughton;5;West Yorkshire;56031;19115;26781;0;0;0;0
Battersea North;DTP Jay;11;Wandsworth;40937;9289;19595;0;0;0;0
Battersea South;E Partridge;11;Wandsworth;37320;14203;12451;2774;0;0;0
Bebington;HD Oakshott;4;Merseyside;70374;33705;23844;0;0;0;0
Beckenham;PC Goodhart;11;Bromley;73421;36528;13395;9365;0;0;0
Bedford;ACJ Soames;9;Bedfordshire;55278;23495;16728;5966;0;0;0
Bedfordshire Mid;AT Lennox-Boyd;9;Bedfordshire;53889;21301;16127;8099;0;0;0
Bedfordshire South;NJ Cole;9;Bedfordshire;65416;25861;21102;7912;0;0;0
Belper;GA Brown;8;Derbyshire;69336;27007;31344;0;0;0;0
Bermondsey;RJ Mellish;11;Southwark;37921;6187;20528;0;0;0;0
