Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Winchester;MC Morgan-Giles;12;Hampshire;82022;30843;15655;20339;0;0;0
Windsor and Maidenhead;A Glyn;12;Berkshire;78951;31022;15413;16027;0;0;1041
Wirral;JSB Lloyd;4;Merseyside;92217;38452;22605;14123;0;0;0
Woking;CGD Onslow;12;Surrey;67371;25243;11583;17660;0;0;0
Wokingham;WR van Straubenzee;12;Berkshire;72773;27223;16269;16791;0;0;0
Wolverhampton North East;R Short;7;Black Country;68860;16318;28935;0;0;0;3259
Wolverhampton South East;R Edwards;7;Black Country;54945;10841;21746;5511;0;0;1546
Wolverhampton South West;N Budgen;7;Black Country;63555;23123;16222;9691;0;0;1523
Wood Green;JS Butler;11;Haringey;51668;10950;18594;7194;0;0;0
Woolwich East;CP Mayhew;11;Greenwich;50520;8990;20967;6390;0;0;1257
Woolwich West;W Hamling;11;Greenwich;55769;17690;20126;7833;0;0;0
Worcester;PE Walker;7;Hereford and Worcestershire;74132;27377;19910;12724;0;0;0
Worcestershire South;MH Spicer;7;Hereford and Worcestershire;72962;28126;9757;20961;0;0;850
Workington;TF Peart;4;Cumbria;52656;16230;24000;0;0;0;0
Worthing;TL Higgins;12;West Sussex;72143;33613;8286;14683;0;0;0
Wrekin, The;GT Fowler;7;Shropshire;81955;24121;30642;11487;0;0;0
Wycombe;J Hall;12;Buckinghamshire;78203;29521;18822;15512;0;0;0
Yarmouth;A Fell;9;Norfolk;70212;24711;19774;12524;0;0;0
Yeovil;JWW Peyton;10;Somerset;74534;25955;17362;18465;0;0;720
York, City Of;AW Lyon;5;North Yorkshire;76505;24843;25674;12793;0;0;0
Aberavon;J Morris;6;West Glamorgan;64162;10968;31656;0;5898;0;0
Aberdare;IL Evans;6;Mid Glamorgan;48026;3169;23805;0;11973;0;1038
Abertillery;J Thomas;6;Gwent;36298;2730;20068;2632;3119;0;0
Anglesey;C Hughes;6;Gwynedd;43685;8898;14652;3882;7610;0;0
Barry;R Gower;6;South Glamorgan;69356;25326;19779;10048;1924;0;0
Bedwellty;NG Kinnock;6;Gwent;49758;5027;26664;5020;3048;0;0
Brecon and Radnor;CE Roderick;6;Powys;53857;15903;18180;8741;2099;0;0
Caernarvon;D Wiigley;6;Gwynedd;42204;5803;12375;2506;14103;0;0
Caerphilly;AT Evans;6;Gwent;56013;5912;24838;0;11956;0;711
Cardiff North;I Grist;6;South Glamorgan;43511;14659;10806;7139;1586;0;0
Cardiff North West;MHA Roberts;6;South Glamorgan;43417;16654;10641;7109;1227;0;0
Cardiff South East;LJ Callaghan;6;South Glamorgan;56785;13495;20641;2978;1254;0;3800
Cardiff West;TG Thomas;6;South Glamorgan;51626;13366;16712;5812;2093;0;0
Cardigan;GW Howells;6;Dyfed;42752;4758;11895;14371;4754;0;0
Carmarthen;GG Jones;6;Dyfed;59963;6037;17165;9698;17162;0;0
Conway;TWP Roberts;6;Clwyd;51365;16763;12214;8546;4203;0;0
Denbigh;WGO Morgan;6;Clwyd;62978;21258;10141;15243;4103;0;0
Ebbw Vale;MM Foot;6;Gwent;37355;2303;20660;4996;1767;0;0
Flint East;SB Jones;6;Clwyd;68646;18811;27663;10653;1135;0;0
Flint West;AJC Meyer;6;Clwyd;63855;22039;14897;12831;2296;0;0
Gower;I Davies;6;West Glamorgan;56476;8780;23856;8737;3741;0;0
Llanelli;DJD Davies;6;Dyfed;64076;7496;28941;7140;6020;0;507
Merioneth;DE Thomas;6;Gwynedd;26512;3392;7235;4153;7823;0;0
Merthyr Tydfil;E Rowlands;6;Mid Glamorgan;39445;2622;20486;1002;7336;0;529
Monmouth;J Stradling Thomas;6;Gwent;74173;27269;22707;11506;930;0;0
Montgomery;HE Hooson;6;Powys;33303;7844;4888;12495;2274;0;0
Neath;DR Coleman;6;West Glamorgan;51887;6616;25351;0;8758;0;0
Newport;RJ Hughes;6;Gwent;74351;18002;29384;11868;936;0;0
Ogmore;WE Padley;6;Mid Glamorgan;67354;9416;28372;10819;5139;0;0
Pembroke;RN Edwards;6;Dyfed;71486;22268;20789;12340;2820;0;0
Pontypool;L Abse;6;Gwent;54663;7497;25133;7668;1308;0;498
Pontypridd;BT John;6;Mid Glamorgan;69677;11406;28028;9889;4612;0;0
Rhondda;TA Jones;6;Mid Glamorgan;65192;4111;36880;3056;6739;0;1374
Swansea East;N McBride;6;West Glamorgan;58301;8850;28537;0;5135;0;507
Swansea West;AJ Williams;6;West Glamorgan;64744;18786;22124;8248;1859;0;0
Wrexham;RT Ellis;6;Clwyd;75492;14301;27384;14297;2624;0;0
Aberdeen North;R Hughes;2;Grampian;64349;8115;23193;6001;11337;0;0
Aberdeen South;IM Sproat;2;Grampian;67379;21938;18380;7447;7599;0;0
Aberdeenshire East;D Henderson;2;Grampian;47147;12634;2416;2727;18333;0;0
Aberdeenshire West;R Fairgrieve;2;Grampian;54704;17256;4661;15616;6827;0;0
Angus North and Mearns;AL Buchanan-Smith;2;Tayside;37233;14288;3745;4412;6837;0;0
Angus South;J Bruce-Gardyne;2;Tayside;51876;20522;5721;0;15179;0;0
Argyll;I MacCormick;2;Argyll and Bute;41444;12358;4027;0;15646;0;0
Ayr;GKH Younger;2;Ayrshire and Lanark;51546;21626;16528;0;4706;0;0
Ayrshire Central;D Lambie;2;Ayrshire and Lanark;58795;17362;23639;0;7255;0;0
Ayrshire North and Bute;JA Corrie;2;Ayrshire and Lanark;48720;17166;10436;3832;6104;0;0
Ayrshire South;J Sillars;2;Ayrshire and Lanark;50784;10643;23093;0;6612;0;0
Banff;H Watt;2;Grampian;31624;8252;1528;3121;11037;0;0
Berwick and East Lothian;Earl of Ancrum;2;Edinburgh area;56949;21234;20694;0;6956;0;0
Bothwell;J Hamilton;2;Ayrshire and Lanark;58697;12725;22326;5362;6710;0;562
Caithness and Sutherland;RAR MacLennan;2;Highland;28571;5104;8574;6222;3814;0;0
Coatbridge and Airdrie;J Dempsey;2;Glasgow area;59246;13162;24945;0;7961;0;0
Dumfries;HSP Monro;2;Dumfries and Galloway;61304;21707;12739;5642;9186;0;0
Dunbartonshire Central;H McCartney;2;Glasgow area;48998;9775;16439;2583;5906;0;5980
Dunbartonshire East;JSB Henderson;2;Glasgow area;61266;19092;15416;5936;11635;0;0
Dunbartonshire West;I Campbell;2;Glasgow area;51565;13638;16247;0;11144;0;0
Dundee East;G Wilson;2;Tayside;62597;13371;17100;0;20066;0;220
Dundee West;PM Doig;2;Tayside;63464;15745;22193;0;12959;0;673
Dunfermline;A Hunter;2;Fife;60219;14791;19201;6153;8695;0;0
East Kilbride;M Miller;2;Ayrshire and Lanark;66092;15456;23424;0;13819;0;693
Edinburgh Central;RF Cook;2;Edinburgh area;40780;10393;11354;4180;4074;0;0
Edinburgh East;GS Strang;2;Edinburgh area;56953;14614;20163;3998;7128;0;274
Edinburgh Leith;RK Murray;2;Edinburgh area;39157;11883;12604;0;6569;0;0
Edinburgh North;A Fletcher;2;Edinburgh area;46936;16417;9404;5487;4550;0;0
Edinburgh Pentlands;M Rifkind;2;Edinburgh area;54504;18162;13560;6870;5491;0;0
Edinburgh South;AMC Hutchinson;2;Edinburgh area;55708;18784;12403;8073;5770;0;0
Edinburgh West;JA Stodart;2;Edinburgh area;52044;18908;10431;9189;4241;0;0
Fife Central;WW Hamilton;2;Fife;57903;9098;24418;0;10324;0;2019
Fife East;JE Gilmour;2;Fife;56050;21172;6634;7766;8593;0;0
Galloway;HJ Brewis;2;Dumfries and Galloway;39082;13316;3091;4643;9308;0;0
