Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Aldershot;Gerald Howarth;12;Hampshire;71469;21203;5489;15617;0;2041;1034
Aldridge-Brownhills;Richard Shepherd;7;Black Country;59355;22913;7647;6833;0;0;1241
Altrincham and Sale West;Graham Brady;4;Central Manchester;71254;24176;11073;12581;0;0;1563
Amber Valley;Nigel Mills;8;Derbyshire;70171;17746;17210;6636;0;3195;1171
Arundel and South Downs;Nick Herbert;12;West Sussex;77564;32333;4835;15642;0;3172;0
Ashfield;Gloria de Piero;8;Nottinghamshire;77379;10698;16239;16047;0;2781;2431
Ashford;Damian Green;12;Kent;81269;29878;9204;12581;0;2508;1014
Ashton under Lyne;David Heyes;4;Eastern Manchester;67564;9510;18604;5703;0;2929;1686
Aylesbury;David Lidington;12;Buckinghamshire;77934;27736;6695;15118;0;3613;0
Banbury;Tony Baldry;12;Oxfordshire;86986;29703;10773;11476;0;2806;1483
Barking;Margaret Hodge;11;Barking and Dagenham;73864;8073;24628;3719;0;6620;2303
Barnsley Central;Eric Illsley;5;South Yorkshire;65543;6388;17487;6394;0;3307;3425
Barnsley East;Michael Dugher;5;South Yorkshire;68435;6329;18059;6969;0;3301;3728
Barrow and Furness;John Woodcock;4;Cumbria;68758;16018;21226;4424;0;0;2456
Basildon and Billericay;John Baron;9;Essex;65482;21922;9584;6538;0;1934;1591
Basildon South and East Thurrock;Stephen Metcalfe;9;Essex;71815;19624;13852;5977;0;2639;2643
Basingstoke;Maria Miller;12;Hampshire;75470;25590;10327;12414;0;2076;247
Bassetlaw;John Mann;8;Nottinghamshire;76542;16803;25018;5570;0;1779;407
Bath;Don Foster;10;Bristol area;65603;14768;3251;26651;0;1120;1296
Batley and Spen;Mike Wood;5;West Yorkshire;76732;17159;21565;8095;0;3685;605
Battersea;Jane Ellison;11;Wandsworth;74300;23103;17126;7176;0;0;1387
Beaconsfield;Dominic Grieve;12;Buckinghamshire;74982;32053;6135;10271;0;2597;1434
Beckenham;Bob Stewart;11;Bromley;66219;27597;6893;9813;0;0;3383
Bedford;Richard Fuller;9;Bedfordshire;68491;17546;16193;8957;0;0;2406
Bedfordshire Mid;Nadine Dorries;9;Bedfordshire;76023;28815;8108;13663;0;2826;1485
Bedfordshire North East;Alistair Burt;9;Bedfordshire;78060;30989;8957;12047;0;2294;1265
Bedfordshire South West;Andrew Selous;9;Bedfordshire;76559;26815;9948;10166;0;2142;1703
Bermondsey and Old Southwark;Simon Hughes;11;Southwark;77623;7638;13060;21590;0;0;2363
Berwick-upon-Tweed;Alan Beith;3;Northumberland;57403;14116;5061;16806;0;1243;1213
Bethnal Green and Bow;Rushanara Ali;11;Tower Hamlets;81243;7071;21784;10210;0;8532;3131
Beverley and Holderness;Graham Stuart;5;Humber area;79611;25063;11224;12076;0;2080;2756
Bexhill and Battle;Greg Barker;12;East Sussex;79208;28147;6524;15267;0;2699;1950
Bexleyheath and Crayford;David Evennett;11;Bexley;64985;21794;11450;5502;0;0;4436
Birkenhead;Frank Field;4;Merseyside;62773;6687;22082;6554;0;0;0
Birmingham Edgbaston;Gisela Stuart;7;Birmingham;68573;15620;16894;6387;0;0;2670
Birmingham Erdington;Jack Dromey;7;Birmingham;66405;11592;14869;5742;0;0;3343
Birmingham Hall Green;Roger Godsiff;7;Birmingham;76580;7320;16039;11988;0;12240;1140
Birmingham Hodge Hill;Liam Byrne;7;Birmingham;75040;4936;22077;11775;0;0;3684
Birmingham Ladywood;Shabana Mahmood;7;Birmingham;73646;4277;19950;9845;0;0;1761
Birmingham Northfield;Richard Burden;7;Birmingham;71338;14059;16841;6550;0;0;4364
Birmingham Perry Barr;Khalid Mahmood;7;Birmingham;71304;8960;21142;9234;0;0;2709
Birmingham Selly Oak;Stephen McCabe;7;Birmingham;74805;14468;17950;10371;0;0;3774
Birmingham Yardley;John Hemming;7;Birmingham;72321;7836;13160;16162;0;0;3692
Bishop Auckland;Helen Goodman;3;Durham;68370;10805;16023;9189;0;0;5119
Blackburn;Jack Straw;4;Lancashire;72331;11895;21751;6918;0;0;4935
