Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Aldershot;Gerald Howarth;12;Hampshire;78262;19106;11391;12542;0;0;2276
Aldridge-Brownhills;Richard Shepherd;7;Black Country;62388;18974;15206;3251;0;0;379
Altrincham and Sale West;Graham Brady;4;Central Manchester;71820;20113;17172;6283;0;0;0
Amber Valley;Judy Mallaber;8;Derbyshire;73798;15874;23101;5538;0;0;0
Arundel and South Downs;Howard Flight;12;West Sussex;70956;23969;9488;10265;0;0;2167
Ashfield;Geoff Hoon;8;Nottinghamshire;73428;9607;22875;4428;0;0;2440
Ashford;Damian Green;12;Kent;76699;22739;15380;7236;0;0;2582
Ashton under Lyne;David Heyes;4;Eastern Manchester;72820;6822;22340;4237;0;0;2365
Aylesbury;David Lidington;12;Buckinghamshire;80002;23230;11388;13221;0;0;1248
Banbury;Tony Baldry;12;Oxfordshire;83392;23271;18052;8216;0;0;1976
Barking;Margaret Hodge;11;Barking and Dagenham;55229;5768;15302;2450;0;0;1606
Barnsley Central;Eric Illsley;5;South Yorkshire;60086;3608;19181;4051;0;0;703
Barnsley East and Mexborough;Jeff Ennis;5;South Yorkshire;65655;4024;21945;5156;0;0;1384
Barnsley West and Penistone;Michael Clapham;5;South Yorkshire;65291;7892;20244;6428;0;0;0
Barrow and Furness;John Hutton;4;Cumbria;64746;11835;21724;4750;0;0;711
Basildon;Angela Smith;9;Essex;74121;13813;21551;3691;0;0;1820
Basingstoke;Andrew Hunter;12;Hampshire;79110;20490;19610;6693;0;0;1202
Bassetlaw;John Mann;8;Nottinghamshire;68302;11758;21506;4942;0;0;689
Bath;Don Foster;10;Bristol Area;71372;13478;7269;23372;0;0;2177
Batley and Spen;Mike Wood;5;West Yorkshire;63665;14160;19224;2989;0;0;1169
Battersea;Martin Linton;11;Wandsworth;67495;13445;18498;4450;0;0;411
Beaconsfield;Dominic Grieve;12;Buckinghamshire;68378;20233;9168;9117;0;0;1626
Beckenham;Jacqui Lait;11;Bromley;72241;20618;15659;7308;0;0;1977
Bedford;Patrick Hall;9;Bedfordshire;67763;13297;19454;6425;0;0;1403
Bedfordshire Mid;Jonathan Sayeed;9;Bedfordshire;70594;22109;14043;9205;0;0;1281
Bedfordshire North East;Alistair Burt;9;Bedfordshire;69451;22586;14009;7409;0;0;1242
Bedfordshire South West;Andrew Selous;9;Bedfordshire;72126;18477;17701;6473;0;0;1203
Berwick-upon-Tweed;Alan Beith;3;Northumberland;56918;10193;6435;18651;0;0;1029
Bethnal Green and Bow;Oona King;11;Tower Hamlets;79192;9323;19380;5946;0;0;3821
Beverley and Holderness;James Cran;5;Humber area;75146;19168;18387;7356;0;0;1464
Bexhill and Battle;Greg Barker;12;East Sussex;69010;21555;8702;11052;0;0;3474
Bexleyheath and Crayford;Nigel Beard;11;Bexley;63580;16121;17593;4476;0;0;2188
Billericay;John Baron;9;Essex;78528;21608;16595;6323;0;0;1072
Birkenhead;Frank Field;4;Merseyside;60726;4827;20418;3722;0;0;0
Birmingham Edgbaston;Gisela Stuart;7;Birmingham;67405;13819;18517;4528;0;0;885
Birmingham Erdington;Sion Simon;7;Birmingham;65668;7413;17375;3602;0;0;2214
Birmingham Hall Green;Stephen McCabe;7;Birmingham;57563;11401;18049;2926;0;0;708
Birmingham Hodge Hill;Terry Davis;7;Birmingham;55254;5283;16901;2147;0;0;2134
Birmingham Ladywood;Clare Short;7;Birmingham;71113;3551;21694;2586;0;0;3662
Birmingham Northfield;Richard Burden;7;Birmingham;55922;8730;16528;3322;0;0;743
Birmingham Perry Barr;Khalid Mahmood;7;Birmingham;71121;8662;17415;8566;0;0;2774
Birmingham Selly Oak;Lynne Jones;7;Birmingham;71237;10676;21015;6532;0;0;1877
Birmingham Sparkbrook and Small Heath;Roger Godsiff;7;Birmingham;74358;3948;21087;4841;0;0;6771
Birmingham Yardley;Estelle Morris;7;Birmingham;52444;3941;14085;11507;0;0;480
Bishop Auckland;Derek Foster;3;Durham;67377;8754;22680;6073;0;0;1052
Blaby;Andrew Robathan;8;Leicestershire;73907;22104;15895;8286;0;0;1357
Blackburn;Jack Straw;4;Lancashire;72621;12559;21808;3264;0;0;2853
Blackpool North and Fleetwood;Joan Humble;4;Lancashire;74456;15889;21610;4132;0;0;950
Blackpool South;Gordon Marsden;4;Lancashire;74311;12798;21060;4115;0;0;819
Blaydon;John McWilliam;3;Newcastle area;64574;4215;20340;12531;0;0;0
Blyth Valley;Ronnie Campbell;3;Northumberland;63274;5484;20627;8439;0;0;0
Bognor Regis and Littlehampton;Nick Gibb;12;West Sussex;66903;17602;11959;6849;0;0;2561
Bolsover;Dennis Skinner;8;Derbyshire;67537;7472;26249;4550;0;0;0
Bolton North East;David Crausby;4;Western Manchester;69514;12744;21166;4004;0;0;1036
Bolton South East;Brian Iddon;4;Western Manchester;68140;8258;21129;3941;0;0;826
Bolton West;Ruth Kelly;4;Western Manchester;66033;13863;19381;7573;0;0;397
Bootle;Joe Benton;4;Merseyside;56320;2194;21400;2357;0;0;1643
Boston and Skegness;Mark Simmonds;8;Lincolnshire;69010;17298;16783;4994;0;0;1238
Bosworth;David Tredinnick;8;Leicestershire;69992;20030;17750;7326;0;0;0
Bournemouth East;David Atkinson;10;Dorset;60454;15501;7107;12067;0;0;1124
Bournemouth West;John Butterfill;10;Dorset;62038;14417;9699;8468;0;0;1064
Bracknell;Andrew Mackay;12;Berkshire;81118;22962;16249;8424;0;0;1590
Bradford North;Terry Rooney;5;West Yorkshire;66454;8450;17419;6924;0;0;2224
Bradford South;Gerry Sutcliffe;5;West Yorkshire;68450;9941;19603;3717;0;0;1656
Bradford West;Marsha Singh;5;West Yorkshire;71620;14236;18401;2437;0;0;3296
Braintree;Alan Hurst;9;Essex;79157;20765;21123;5664;0;0;2763
Brent East;Paul Daisley;11;Brent;58095;5278;18325;3065;0;0;2324
Brent North;Barry Gardiner;11;Brent;58789;9944;20149;3846;0;0;0
Brent South;Paul Boetang;11;Brent;55891;3604;20984;3098;0;0;951
Brentford and Isleworth;Ann Keen;11;Hounslow;84049;12957;23275;5994;0;0;2288
Brentwood and Ongar;Eric Pickles;9;Essex;64695;16558;5505;6772;0;13737;970
Bridgwater;Ian Liddell-Grainger;10;Somerset;74079;19354;12803;14367;0;0;1323
Brigg and Goole;Ian Cawsey;5;Humber area;63536;16105;20066;3796;0;0;1087
Brighton Kemptown;Desmond Turner;12;East Sussex;67621;13823;18745;4064;0;0;2571
Brighton Pavilion;David Lepper;12;East Sussex;69200;10203;19846;5348;0;0;5326
Bristol East;Jean Corston;10;Bristol Area;70279;8788;22180;6915;0;0;2451
Bristol North West;Doug Naysmith;10;Bristol Area;76756;13349;24436;7387;0;0;1520
Bristol South;Dawn Primarolo;10;Bristol Area;72490;9118;23299;6078;0;0;1233
Bristol West;Valerie Davey;10;Bristol Area;84821;16040;20505;16079;0;0;3041
Bromley and Chislehurst;Eric Forth;11;Bromley;68763;21412;12375;8180;0;0;1264
Bromsgrove;Julie Kirkbride;7;Hereford and Worcestershire;68115;23640;15502;5430;0;0;1112
Broxbourne;Marion Roe;9;Hertfordshire;68982;20487;11494;4158;0;0;1706
Broxtowe;Nick Palmer;8;Nottinghamshire;73675;17963;23836;7205;0;0;0
Buckingham;John Bercow;12;Buckinghamshire;65270;24296;10971;9037;0;0;968
Burnley;Peter Pike;4;Lancashire;66393;7697;18195;5975;0;0;5017
Burton;Janet Dean;7;Staffordshire;75194;17934;22783;4468;0;0;1272
Bury North;David Chaytor;4;Western Manchester;71108;16413;22945;5430;0;0;0
Bury South;Ivan Lewis;4;Western Manchester;67276;10634;23406;5499;0;0;0
Bury St Edmunds;David Ruffley;9;Suffolk;76146;21850;19347;6998;0;0;2062
Calder Valley;Christine McCafferty;5;West Yorkshire;75298;17150;20244;7596;0;0;2435
Camberwell and Peckham;Harriet Harman;11;Southwark;53694;2740;17473;3350;0;0;1541
Cambridge;Anne Campbell;9;Cambridgeshire;70663;9829;19316;10737;0;0;2722
Cambridgeshire North East;Malcolm Moss;9;Cambridgeshire;79891;23132;16759;6733;0;0;1427
Cambridgeshire North West;Sir Brian Mawhinney;9;Cambridgeshire;70569;21895;13794;6957;0;0;1310
Cambridgeshire South;Andrew Lansley;9;Cambridgeshire;72095;21387;11737;12984;0;0;2233
Cambridgeshire South East;James Paice;9;Cambridgeshire;81663;22927;13714;13937;0;0;1308
Cannock Chase;Tony Wright;7;Staffordshire;73423;12345;23049;5670;0;0;0
Canterbury;Julian Brazier;12;Kent;74159;18711;16642;8056;0;0;1723
Carlisle;Eric Martlew;4;Cumbria;58811;12154;17856;4076;0;0;823
