Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Hertfordshire North East;O. Heald;9;Hertfordshire;67161;21712;18624;9493;0;0;2166
Hertfordshire South West;R. Page;9;Hertfordshire;71671;25462;15441;12381;0;0;2127
Hertsmere;J. Clappison;9;Hertfordshire;68011;22305;19230;6466;0;0;2347
Hexham;P. Atkinson;3;Northumberland;58914;17701;17479;7959;0;0;2532
Heywood and Middleton;J. Dobbin;4;Eastern Manchester;73898;11637;29179;7908;0;0;1826
High Peak;T. Levitt;8;Derbyshire;72315;20261;29052;6420;0;0;1420
Hitchin and Harpenden;Rt.Hon. P. Lilley;9;Hertfordshire;67219;24038;17367;10515;0;0;507
Holborn and St Pancras;F. Dobson;11;Camden;63037;6804;24707;4750;0;0;1736
Hornchurch;J. Cryer;11;Havering;60775;16386;22066;3446;0;0;2043
Hornsey and Wood Green;Mrs B. Roche;11;Haringey;74537;11293;31792;5794;0;0;2608
Horsham;Rt.Hon. F. Maude;12;West Sussex;75432;29015;10691;14153;0;0;3306
Houghton and Washington East;F. Kemp;3;Newcastle area;67343;5391;31946;3209;0;0;1277
Hove;I. Caplin;12;East Sussex;69016;17499;21458;4645;0;0;4519
Huddersfield;B. Sheerman;5;West Yorkshire;65824;9323;25171;7642;0;0;2418
Hull East;Rt.Hon. J. Prescott;5;Humber area;68733;5552;28870;3965;0;0;2099
Hull North;K. McNamara;5;Humber area;68106;5837;25542;5667;0;0;1748
Hull West and Hessle;A. Johnson;5;Humber area;65840;6933;22520;6995;0;0;1906
Huntingdon;Rt.Hon. J. Major;9;Cambridgeshire;76094;31501;13361;8390;0;0;3711
Hyndburn;G. Pope;4;Lancashire;66806;15383;26831;4141;0;0;1917
Ilford North;Ms L. Perham;11;Redbridge;68218;19911;23135;5049;0;0;750
Ilford South;M. Gapes;11;Redbridge;72104;15073;29273;3152;0;0;2521
Ipswich;J. Cann;9;Suffolk;66947;15045;25484;5881;0;0;1952
Isle of Wight;Dr P. Brand;12;Hampshire;101680;24868;9646;31274;0;0;7371
Islington North;J. Corbyn;11;Islington;57385;4631;24834;4879;0;0;1516
Islington South and Finsbury;C. Smith;11;Islington;55468;4587;22079;7516;0;0;1134
Jarrow;S. Hepburn;3;Newcastle area;63828;6564;28497;4865;0;0;4016
Keighley;Mrs A. Cryer;5;West Yorkshire;67231;18907;26039;5064;0;0;1470
Kensington and Chelsea;Rt.Hon. A. Clark;11;Kensington and Chelsea;67786;19887;10368;5668;0;0;1165
Kettering;P. Sawford;8;Northamptonshire;75153;24461;24650;6098;0;0;1748
Kingston and Surbiton;E. Davey;11;Kingston upon Thames;73879;20355;12811;20411;0;0;2088
Kingswood;Dr R. Berry;10;Bristol Area;77026;17928;32181;7672;0;0;2106
Knowsley North and Sefton East;G. Howarth;4;Merseyside;70918;8600;34747;5499;0;0;857
Knowsley South;E. O'Hara;4;Merseyside;70532;5987;36695;3954;0;0;954
Lancashire West;C. Pickthall;4;Lancashire;73175;15903;33022;3938;0;0;1866
Lancaster and Wyre;H. Dawson;4;Lancashire;78168;23878;25173;6802;0;0;3009
Leeds Central;D. Fatchett;5;West Yorkshire;67664;5077;25766;4164;0;0;2002
Leeds East;G. Mudie;5;West Yorkshire;56963;6685;24151;3689;0;0;1267
Leeds North East;F. Hamilton;5;West Yorkshire;63185;15409;22368;6318;0;0;1414
Leeds North West;H. Best;5;West Yorkshire;69972;15850;19694;11689;0;0;2143
Leeds West;J. Battle;5;West Yorkshire;63965;7048;26819;3622;0;0;2731
Leicester East;K. Vaz;8;Leicestershire;64012;10661;29083;3105;0;0;1553
Leicester South;J. Marshall;8;Leicestershire;71750;11421;27914;6654;0;0;2125
Leicester West;Ms P. Hewitt;8;Leicestershire;64570;9716;22580;5795;0;0;2823
Leicestershire North West;D. Taylor;8;Leicestershire;65069;16113;29332;4492;0;0;2088
Leigh;L. Cunliffe;4;Western Manchester;69908;7156;31652;5163;0;0;1949
Leominster;P. Temple-Morris;7;Hereford and Worcestershire;65993;22888;8831;14053;0;0;4781
Lewes;N. Baker;12;East Sussex;64340;19950;5232;21250;0;0;2737
Lewisham Deptford;Mrs J. Ruddock;11;Lewisham;58141;4949;23827;3004;0;0;1864
Lewisham East;Ms B. Prentice;11;Lewisham;56333;9694;21821;4178;0;0;1715
Lewisham West;J. Dowd;11;Lewisham;58659;8936;23273;3672;0;0;1663
