Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Aldershot;J Critchley;12;Hampshire;77593;31288;6070;19070;0;0;0
Aldridge-Brownhills;R Shepherd;7;Black Country;60803;24148;11864;0;0;11599;0
Altrincham and Sale;F Montgomery;4;Central Manchester;65984;25321;7684;14410;0;0;781
Amber Valley;P Oppenheim;8;Derbyshire;66720;21502;18184;10989;0;0;856
Arundel;RM Marshall;12;West Sussex;74849;31096;4302;15391;0;0;1399
Ashfield;DF Haynes;8;Nottinghamshire;68791;15772;21859;13812;0;0;0
Ashford;K Speed;12;Kent;65442;27230;6167;0;0;13319;1220
Ashton-under-Lyne;R Sheldon;4;Eastern Manchester;58963;13290;20987;0;0;7521;407
Aylesbury;TH Raison;12;Buckinghamshire;72792;30230;6364;0;0;15310;166
Banbury;A Baldry;12;Oxfordshire;65324;26225;9343;0;0;13200;383
Barking;J Richardson;11;Barking and Dagenham;52362;10389;14415;8770;0;0;646
Barnsley Central;R Mason;5;South Yorkshire;55115;7674;21847;7011;0;0;0
Barnsley East;T Patchett;5;South Yorkshire;53611;5749;23905;6413;0;0;0
Barnsley West and Penistone;A McKay;5;South Yorkshire;60648;12218;22560;0;0;9624;0
Barrow and Furness;C Franks;4;Cumbria;67896;22284;17707;0;0;11079;0
Basildon;D Amess;9;Essex;69604;17516;16137;0;0;11634;0
Basingstoke;A Hunter;12;Hampshire;71975;28381;10646;0;0;15931;344
Bassetlaw;J Ashton;8;Nottinghamshire;65721;18400;22231;0;0;8124;0
Bath;CF Patten;10;Bristol Area;64325;22544;7259;0;0;17240;827
Batley and Spen;EJ Peacock;5;West Yorkshire;73798;21433;20563;0;0;11678;493
Battersea;A Dubs;11;Wandsworth;65938;15972;19248;0;0;7675;1024
Beaconsfield;TJ Smith;12;Buckinghamshire;66168;30552;5107;12252;0;0;0
Beckenham;PC Goodhart;11;Bromley;58719;23606;6386;10936;0;0;203
Bedfordshire Mid;NW Lyell;9;Bedfordshire;75558;33042;9420;15661;0;0;0
Bedfordshire North;TH Skeet;9;Bedfordshire;71491;27969;11323;14120;0;0;344
Bedfordshire South West;WD Madel;9;Bedfordshire;76298;31767;9899;0;0;16036;0
Berkshire East;A MacKay;12;Berkshire;81512;33967;7953;0;0;17868;0
Berwick-upon-Tweed;A Beith;3;Northumberland;53585;13743;5975;21958;0;0;0
Bethnal Green and Stepney;PD Shore;11;Tower Hamlets;55333;4323;15740;9382;0;0;1393
Beverley;P Wall;5;Humber area;75813;31233;6921;17364;0;0;0
Bexhill and Battle;C Wardle;12;East Sussex;61785;30329;3587;10583;0;0;538
Bexleyheath;GD Townsend;11;Bexley;59263;23411;7560;13153;0;0;0
Billericay;KH Proctor;9;Essex;74779;29635;10528;15020;0;0;0
Birkenhead;F Field;4;Merseyside;67293;13535;23249;9782;0;0;337
Birmingham Edgbaston;JCJ Knight;7;Birmingham;55063;19585;7647;0;0;8167;1075
Birmingham Erdington;R Corbett;7;Birmingham;56019;14699;14930;0;0;7915;0
Birmingham Hall Green;RE Eyre;7;Birmingham;61023;21142;11769;10175;0;0;0
Birmingham Hodge Hill;T Davis;7;Birmingham;61234;14600;19692;6557;0;0;529
Birmingham Ladywood;C Short;7;Birmingham;60441;10248;19278;7758;0;0;553
Birmingham Northfield;R King;7;Birmingham;74326;22596;19836;10045;0;0;420
Birmingham Perry Barr;JW Rooker;7;Birmingham;74371;19659;27061;4773;0;0;0
Birmingham Selly Oak;A Beaumont-Dark;7;Birmingham;71671;23008;17612;0;0;10613;0
Birmingham Small Heath;D Howell;7;Birmingham;59376;7622;22874;0;0;5722;0
Birmingham Sparkbrook;R Hattersley;7;Birmingham;53612;9209;19757;0;0;3416;586
Birmingham Yardley;D Bevan;7;Birmingham;57707;17986;15121;0;0;8109;415
Bishop Auckland;D Foster;3;Durham;71142;18444;22750;10070;0;0;0
Blaby;N Lawson;8;Leicestershire;71930;32689;6838;15573;0;0;568
Blackburn;JW Straw;4;Lancashire;76078;22345;25400;0;0;8174;864
Blackpool North;NA Miscampbell;4;Lancashire;57576;20592;8730;10440;0;0;514
Blackpool South;P Blaker;4;Lancashire;56201;19852;9714;0;0;9417;263
Blaydon;JD McWilliam;3;Newcastle area;65481;14063;21285;0;0;12607;0
Blyth Valley;J Ryman;3;Northumberland;57639;11657;16583;0;0;13340;406
Bolsover;DE Skinner;8;Derbyshire;64769;12666;26514;0;0;7886;0
Bolton North East;P Thurnham;4;Western Manchester;58918;19632;17189;0;0;8311;290
Bolton South East;D Young;4;Western Manchester;67527;15231;23984;10157;0;0;296
Bolton West;T Sackville;4;Western Manchester;67354;23731;16579;0;0;12321;0
Boothferry;P Bryan;5;Humber area;72370;30536;9271;13116;0;0;0
Bootle;A Roberts;4;Merseyside;75354;12143;27282;0;0;12068;0
Bosworth;AC Butler;8;Leicestershire;73097;31663;11120;0;0;14369;0
Bournemouth East;DA Atkinson;10;Dorset;70711;25176;4026;13760;0;0;4142
Bournemouth West;J Butterfill;10;Dorset;72297;28466;6243;15135;0;0;180
Bow and Poplar;I Mikardo;11;Tower Hamlets;57768;5129;15878;10017;0;0;979
Bradford North;G Lawler;5;West Yorkshire;66439;16094;14492;0;0;11962;4405
Bradford South;TW Torney;5;West Yorkshire;69588;18432;18542;0;0;12143;308
Bradford West;M Madden;5;West Yorkshire;71296;16162;19499;0;0;13301;139
Braintree;A Newton;9;Essex;73548;29462;10551;0;0;16021;0
Brent East;R Freeson;11;Brent;61489;13529;18363;0;0;6598;599
Brent North;R Boyson;11;Brent;62679;24842;10191;0;0;9082;0
Brent South;LA Pavitt;11;Brent;62783;10740;21259;7557;0;0;356
Brentford and Isleworth;BJ Hayhoe;11;Hounslow;69170;24515;15128;0;0;11438;606
Brentwood and Ongar;R McCrindle;9;Essex;65976;29484;5739;15282;0;0;0
Bridgwater;TJ King;10;Somerset;64224;25107;8524;0;0;14410;0
Bridlington;J Townend;5;Humber area;76718;31284;7370;0;0;14675;803
Brigg and Cleethorpes;MR Brown;5;Humber area;77471;28893;11404;16704;0;0;0
Brighton Kemptown;A Bowden;12;East Sussex;60877;22265;12887;0;0;8098;290
Brighton Pavilion;HJ Amery;12;East Sussex;59761;21323;9879;0;0;10191;0
Bristol East;J Sayeed;10;Bristol Area;66296;19844;18055;10404;0;0;654
Bristol North West;M Stern;10;Bristol Area;72996;24617;18290;0;0;13228;0
Bristol South;MF Cocks;10;Bristol Area;72067;17405;21824;0;0;9674;689
Bristol West;WA Waldegrave;10;Bristol Area;73190;25400;10094;15222;0;0;1014
Bromsgrove;HD Miller;7;Hereford and Worcestershire;66146;27911;10280;0;0;10736;716
