Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Abingdon;AMS Neave;12;Berkshire;69102;26707;20334;8627;0;0;0
Accrington;H Hynd;4;Lancashire;48969;15143;20561;5653;0;0;0
Acton;BFC Floud;11;Ealing;44557;14423;17022;3049;0;0;0
Aldershot;E Errington;12;Hampshire;66098;25797;13718;10066;0;0;0
Altrincham and Sale;FJ Erroll;4;Central Manchester;65716;24982;14945;13429;0;0;0
Arundel and Shoreham;HB Kerby;12;West Sussex;84026;36943;15624;11671;0;0;0
Ashfield;WN Warbey;8;Nottinghamshire;61960;12989;34841;0;0;0;0
Ashford;WF Deedes;12;Kent;54879;21026;11989;9531;0;0;0
Ashton-under-Lyne;RE Sheldon;4;Eastern Manchester;58411;20550;24657;0;0;0;0
Aylesbury;GS Summers;12;Buckinghamshire;63262;23856;16467;10301;0;0;0
Banbury;HN Marten;12;Oxfordshire;70178;27281;22159;7851;0;0;534
Barking;TEN Driberg;11;Barking and Dagenham;50326;8296;23055;5463;0;0;0
Barkston Ash;MJH Alison;5;North Yorkshire;58246;27897;19533;0;0;0;0
Barnet;R Maudling;11;Barnet;65493;25537;17024;10179;0;0;706
Barnsley;R Mason;5;South Yorkshire;69658;9417;37250;9089;0;0;0
Barons Court;IS Richard;11;Hammersmith and Fulham;46048;14800;15966;2821;0;0;0
Barrow-in-Furness;W Monslow;4;Cumbria;51601;18068;22197;0;0;0;0
Basingstoke;DB Mitchell;12;Hampshire;68698;26466;18490;8708;0;0;0
Bassetlaw;FJ Bellenger;8;Nottinghamshire;60752;19167;27612;0;0;0;0
Bath;EJ Brown;10;Bristol Area;56806;22255;16464;8795;0;0;318
Batley and Morley;ADD Broughton;5;West Yorkshire;56436;13477;23362;7564;0;0;0
Battersea North;DPT Jay;11;Wandsworth;35659;5847;14930;2187;0;0;471
Battersea South;EG Perry;11;Wandsworth;36186;10615;12253;3294;0;0;0
Bebington;REG Howe;4;Merseyside;73474;26943;24734;7765;0;0;0
Beckenham;PC Goodhart;11;Bromley;72692;30070;13338;12821;0;0;0
Bedford;ACJ Soames;9;Bedfordshire;58912;21404;18256;7712;0;0;0
Bedfordshire Mid;S Hastings;9;Bedfordshire;58640;22414;17096;9184;0;0;0
Bedfordshire South;NJ Cole;9;Bedfordshire;83307;33838;33499;0;0;0;0
Belper;GA Brown;8;Derbyshire;74891;24169;30481;9807;0;0;0
Bermondsey;RJ Mellish;11;Southwark;34845;4568;17481;0;0;0;0
Berwick-upon-Tweed;Visc. Lambton;3;Northumberland;39915;15851;8218;7681;0;0;0
Bethnal Green;P Holman;11;Tower Hamlets;51906;5593;19914;5296;0;0;0
Bexley;ERG Heath;11;Bexley;64240;25716;21127;6161;0;0;1263
Billericay;EL Gardner;9;Essex;96762;35347;33755;10706;0;0;0
Bilston;R Edwards;7;Black Country;71005;24686;27986;0;0;0;0
Birkenhead;E Dell;4;Merseyside;56594;18133;23994;0;0;0;0
Birmingham All Saints;AB Walden;7;Birmingham;44594;14505;14975;0;0;0;0
Birmingham Aston;J Silverman;7;Birmingham;54544;16146;19512;0;0;0;0
Birmingham Edgbaston;E Pitt;7;Birmingham;50966;22818;11059;0;0;0;0
Birmingham Hall Green;A Jones;7;Birmingham;59984;23879;14477;7113;0;0;0
Birmingham Handsworth;ECG Boyle;7;Birmingham;53243;16841;11909;6249;0;0;459
Birmingham Ladywood;VF Yates;7;Birmingham;29735;5879;10098;0;0;0;0
Birmingham Northfield;WD Chapman;7;Birmingham;80377;25063;29301;7682;0;0;0
Birmingham Perry Barr;WR Davies;7;Birmingham;49454;18483;18156;0;0;0;0
Birmingham Selly Oak;HE Gurden;7;Birmingham;56798;21443;16232;0;0;0;0
Birmingham Small Heath;D Howell;7;Birmingham;46268;10233;17010;0;0;0;926
Birmingham Sparkbrook;RSG Hattersley;7;Birmingham;45877;15033;16287;0;0;0;0
Birmingham Stechford;RH Jenkins;7;Birmingham;55541;17033;22421;0;0;0;0
Birmingham Yardley;IL Evans;7;Birmingham;58934;22619;22788;0;0;0;0
Bishop Auckland;HJ Boyden;3;Durham;47338;13782;22310;0;0;0;0
Blackburn;BA Castle;4;Lancashire;57034;19650;26543;0;0;0;0
Blackpool North;NA Miscampbell;4;Lancashire;55729;19633;10543;11462;0;0;0
Blackpool South;PAR Blaker;4;Lancashire;57343;23769;16986;0;0;0;0
Blaydon;RE Woof;3;Newcastle area;48566;12932;25926;0;0;0;0
Blyth;EJ Milne;3;Northumberland;62805;11832;37336;0;0;0;0
Bodmin;PJ Bessell;10;Cornwall;44906;14910;4172;18046;0;0;0
Bolsover;H Neal;8;Derbyshire;49900;8131;31234;0;0;0;0
Bolton East;RL Howarth;4;Western Manchester;59227;18785;21937;6873;0;0;0
Bolton West;GJ Oakes;4;Western Manchester;51346;13522;16519;10086;0;0;0
Bootle;S Mahon;4;Merseyside;49284;13285;21677;0;0;0;0
Bosworth;WL Wyatt;8;Leicestershire;67114;19583;25334;10652;0;0;0
Bournemouth East and Christchurch;JH Cordle;10;Dorset;63750;26852;10447;10304;0;0;0
Bournemouth West;JB Eden;10;Dorset;70238;26114;13975;11681;0;0;0
Bradford East;F McLeavy;5;South Yorkshire;43416;11075;17945;0;0;0;0
