Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Abingdon;AMS Neave;12;Berkshire;58487;25613;16979;8634;0;0;0
Accrington;H Hynd;4;Lancashire;50938;21157;22502;0;0;0;0
Acton;JA Sparks;11;Ealing;49373;20120;20645;0;0;0;0
Aldershot;E Errington;12;Hampshire;54209;22701;13129;4232;0;0;0
Altrincham and Sale;FJ Erroll;4;Central Manchester;61525;30586;12174;6436;0;0;0
Arundel and Shoreham;HB Kerby;12;West Sussex;69034;35180;15188;0;0;0;0
Ashfield;WN Warbey;8;Nottinghamshire;59820;12836;32905;0;0;0;0
Ashford;WF Deeds;12;Kent;50821;23992;15685;0;0;0;0
Ashton-under-Lyne;H Rhodes;4;Eastern Manchester;62392;24251;26216;0;0;0;0
Aylesbury;GS Summers;12;Buckinghamshire;49841;20330;14569;5869;0;0;0
Banbury;AD Dodds-Parker;12;Oxfordshire;61019;25598;21473;0;0;0;0
Barking;S Hastings;11;Barking and Dagenham;53314;12082;27129;0;0;0;0
Barkston Ash;L Ropner;5;North Yorkshire;52066;24194;18027;0;0;0;0
Barnet;R Maudling;11;Barnet;61255;30299;19570;0;0;0;0
Barnsley;R Mason;5;South Yorkshire;68997;14776;39485;0;0;0;0
Barons Court;WT Williams;11;Hammersmith and Fulham;54613;20623;20748;0;0;0;0
Barrow-in-Furness;W Monslow;4;Cumbria;53073;20033;22792;0;0;0;0
Basingstoke;DK Freeth;12;Hampshire;57030;24973;18683;0;0;0;0
Bassetlaw;FJ Bellenger;8;Nottinghamshire;58203;19375;26873;0;0;0;0
Bath;IJ Pitman;10;Bristol Area;57175;24489;17646;5011;0;0;0
Batley and Morley;ADD Broughton;5;West Yorkshire;56513;17970;27178;0;0;0;0
Battersea North;DPT Jay;11;Wandsworth;42766;8058;20980;0;0;0;622
Battersea South;E Partridge;11;Wandsworth;39239;15044;14365;2219;0;0;0
Bebington;HD Oakshott;4;Merseyside;68186;31700;22277;0;0;0;0
Beckenham;PGT Buchan-Hepburn;11;Bromley;73177;38614;17377;0;0;0;0
Bedford;ACJ Soames;9;Bedfordshire;54439;24733;19792;0;0;0;0
Bedfordshire Mid;AT Lennox-Boyd;9;Bedfordshire;51699;23012;19048;0;0;0;0
Bedfordshire South;NJ Cole;9;Bedfordshire;54051;23365;20897;0;0;0;0
Belper;GA Brown;8;Derbyshire;66585;24115;30214;0;0;0;0
Bermondsey;RJ Mellish;11;Southwark;40695;4309;21709;1554;0;0;715
Berwick-upon-Tweed;Visc Lambton;3;Northumberland;41664;18301;12024;0;0;0;0
Bethnal Green;P Holman;11;Tower Hamlets;61410;6504;27205;5541;0;0;0
Bexley;ERG Heath;11;Bexley;63863;28610;24111;0;0;0;0
Billericay;RFS Body;9;Essex;58872;24327;20121;0;0;0;0
Bilston;RJ Edwards;7;Black Country;61824;19482;26490;0;0;0;0
Birkenhead;PH Collick;4;Merseyside;60587;21345;24526;0;0;0;0
Birmingham All Saints;DH Howell;7;Birmingham;51562;17560;18867;0;0;0;0
Birmingham Aston;J Silverman;7;Birmingham;59889;17284;25546;0;0;0;0
Birmingham Edgbaston;EM Pitt;7;Birmingham;58469;26991;12897;0;0;0;0
Birmingham Hall Green;A Jones;7;Birmingham;61640;28543;17846;0;0;0;0
Birmingham Handsworth;ECG Boyle;7;Birmingham;58322;24349;14064;0;0;0;2148
Birmingham Ladywood;VF Yates;7;Birmingham;46904;9665;18476;0;0;0;0
Birmingham Northfield;WD Chapman;7;Birmingham;65219;24188;27072;0;0;0;0
Birmingham Perry Barr;CA Howell;7;Birmingham;50450;17052;18732;0;0;0;928
Birmingham Selly Oak;HE Gurden;7;Birmingham;60356;25774;19054;0;0;0;0
Birmingham Small Heath;WE Wheeldon;7;Birmingham;56101;14484;22444;0;0;0;0
Birmingham Sparkbrook;PLE Shurmer;7;Birmingham;51057;16821;20032;0;0;0;0
Birmingham Stechford;RH Jenkins;7;Birmingham;55004;16618;23358;0;0;0;0
Birmingham Yardley;HC Usborne;7;Birmingham;59078;20598;23722;0;0;0;0
Bishop Auckland;H Dalton;3;Durham;49051;15959;21804;0;0;0;0
Blackburn;BA Castle;4;Lancashire;62548;25752;26241;0;0;0;0
Blackpool North;ARW Low;4;Lancashire;56470;26899;10869;0;0;0;0
Blackpool South;R Robinson;4;Lancashire;55100;24773;12548;0;0;0;0
Blaydon;W Whitely;3;Newcastle area;47138;12750;25273;0;0;0;0
Blyth;A Robens;3;Northumberland;62233;13429;36522;0;0;0;0
Bodmin;D Marshall;10;Cornwall;45715;17858;8304;10199;0;0;0
Bolsover;H Neal;8;Derbyshire;49152;8055;30074;0;0;0;0
Bolton East;PI Bell;4;Western Manchester;61601;26145;22634;0;0;0;0
Bolton West;AF Holt;4;Western Manchester;56724;0;20014;24827;0;0;0
Bootle;S Mahon;4;Merseyside;48381;17582;19020;0;0;0;0
Bosworth;AC Allen;8;Leicestershire;63360;23526;27626;0;0;0;0
Bournemouth East and Christchurch;N Nicolson;10;Dorset;58092;28757;10259;4851;0;0;0
Bournemouth West;JB Eden;10;Dorset;65651;31931;15147;0;0;0;0
Bradford East;F McLeavy;5;South Yorkshire;51453;14713;23588;0;0;0;0
Bradford North;WJ Taylor;5;West Yorkshire;51472;21084;21015;0;0;0;0
Bradford South;G Craddock;5;West Yorkshire;53849;16768;20478;6029;0;0;0
Bradford West;A Tiley;5;West Yorkshire;50726;22306;19147;0;0;0;0
Brentford and Chiswick;PB Lucas;11;Hounslow;42528;18489;16384;0;0;0;0
Bridgwater;G Wills;10;Somerset;53920;24887;17170;0;0;0;0
Bridlington;RF Wood;5;Humber area;52583;25880;10614;0;0;0;0
Brierley Hill;CJ Simmons;7;Black Country;62179;24064;25013;0;0;0;0
Brigg;EL Mallalieu;5;Humber area;67808;22826;27847;0;0;0;0
Brighouse and Spenborough;LJ Edwards;5;West Yorkshire;54616;22048;23674;0;0;0;0
Brighton Kemptown;HS Johnson;12;East Sussex;58621;23142;17885;0;0;0;0
Brighton Pavilion;LWB Teeling;12;East Sussex;59053;27128;12742;0;0;0;0
Bristol Central;SS Awbery;10;Bristol area;56326;16406;25158;0;0;0;0
Bristol North East;W Coldrick;10;Bristol Area;62614;21864;22740;4236;0;0;0
Bristol North West;TC Boyd;10;Bristol Area;55942;21295;22950;0;0;0;0
Bristol South;WA Wilkins;10;Bristol Area;52142;13978;24954;0;0;0;0
Bristol South East;ANW Benn;10;Bristol Area;54499;17210;25257;0;0;0;0
Bristol West;W Monckton;10;Bristol Area;58359;32767;10766;0;0;0;0
Brixton;M Lipton;11;Lambeth;53045;15559;20594;0;0;0;0
Bromley;H Macmillan;11;Bromley;47954;24612;11473;0;0;0;0
Bromsgrove;JCG Dance;7;Hereford and Worcestershire;60898;27461;22287;0;0;0;0
Buckingham;F Markham;12;Buckinghamshire;53298;23250;22110;0;0;0;0
Buckinghamshire South;RM Bell;12;Buckinghamshire;60501;29165;11184;6885;0;0;0
Burnley;WA Burke;4;Lancashire;60023;22229;27865;0;0;0;0
Burton;JC Jennings;7;Staffordshire;57025;24519;21546;0;0;0;0
Bury and Radcliffe;JC Bidgood;4;Western Manchester;65379;28080;24331;0;0;0;0
Bury St Edmunds;WT Aitken;9;Suffolk;56854;24532;19962;0;0;0;0
Cambridge;HW Kerr;9;Cambridgeshire;59868;27059;19953;0;0;0;0
Cambridgeshire;SG Howard;9;Cambridgeshire;58518;25025;21051;0;0;0;0
Cannock;J Lee;7;Staffordshire;58553;18379;26677;0;0;0;0
Canterbury;LM Thomas;12;Kent;59431;28739;14444;0;0;0;0
Carlisle;DM Johnson;4;Cumbria;48324;20071;19701;0;0;0;0
Carlton;KWM Pickthorn;8;Nottinghamshire;59479;27521;20664;0;0;0;0
Carshalton;AH Head;11;Sutton;67555;30429;18924;5277;0;0;0
Cheadle;WS Shepherd;4;Eastern Manchester;61626;30940;10966;7756;0;0;0
Chelmsford;H Ashton;9;Essex;55920;25450;20301;0;0;0;0
Chelsea;AHP Noble;11;Kensington and Chelsea;49049;23598;8546;0;0;0;0
Cheltenham;WWH Beach;10;Gloucestershire;51491;24259;16638;0;0;0;0
Chertsey;L Heald;12;Surrey;48812;23021;14656;0;0;0;0
Chester, City of;BE Nield;4;Cheshire;56452;24905;13903;5145;0;0;0
Chester-le-Street;P Bartley;3;Durham;53247;10047;32323;0;0;0;0
Chesterfield;G Benson;8;Derbyshire;64250;21748;29602;0;0;0;0
Chichester;LW Joynson-Hicks;12;West Sussex;60712;30857;12735;0;0;0;0
Chigwell;JA Biggs-Davison;9;Essex;46583;19503;17628;0;0;0;0
Chippenham;D Eccles;10;Wiltshire;50278;20847;14152;5298;0;0;0
Chislehurst;MP Hornsby-Smith;11;Bromley;58063;24514;20644;4120;0;0;0
Chorley;C Kenyon;4;Lancashire;57700;23656;24994;0;0;0;0
Cirencester and Tewkesbury;WS Morrison;10;Gloucestershire;55305;25372;0;0;0;0;12394
Cities of London and Westminster;H Webbe;11;City of Westminster;74162;31314;13270;0;0;0;0
Clapham;CW Gibson;11;Wandsworth;59015;22173;22398;0;0;0;0
Cleveland;AMF Palmer;3;Teesside;68208;27468;27649;0;0;0;0
Clitheroe;R Fort;4;Lancashire;44893;21615;16671;0;0;0;0
Colchester;CJM Alport;9;Essex;55527;24796;19898;0;0;0;0
Colne Valley;WG Hall;5;West Yorkshire;52540;19512;23108;0;0;0;0
Consett;W Stones;3;Durham;59607;15224;30979;0;0;0;0
Cornwall North;H Roper;10;Cornwall;43145;16824;3465;15220;0;0;0
Coventry East;RHS Crossman;7;Coventry and Solihull;60769;21608;27712;0;0;0;0
Coventry North;M Edelman;7;Coventry and Solihull;55845;21392;24565;0;0;0;0
Coventry South;EF Burton;7;Coventry and Solihull;65404;25761;27449;0;0;0;0
Crewe;SS Allen;4;Cheshire;50577;15273;21629;4306;0;0;0
Crosby;RG Page;4;Merseyside;58187;29161;13725;0;0;0;0
Croydon North East;J Hughes-Hallett;11;Croydon;58663;25097;16616;3892;0;0;0
Croydon North West;FW Harris;11;Croydon;59575;26297;15760;4139;0;0;0
Croydon South;RHM Thompson;11;Croydon;62177;27359;20659;0;0;0;0
Dagenham;J Parker;11;Barking and Dagenham;76198;13718;38811;0;0;0;0
Darlington;F Graham;3;Teesside;59448;25765;23184;0;0;0;0
Dartford;S Irving;12;Kent;58854;21730;25928;0;0;0;0
Darwen;C Fletcher-Cooke;4;Lancashire;55322;26729;18813;0;0;0;0
Dearne valley;W Paling;5;South Yorkshire;58473;10402;36718;0;0;0;0
Deptford;LA Plummer;11;Lewisham;52282;12472;23925;0;0;0;0
Derby North;CAB Wilcock;8;Derbyshire;57201;19156;24162;0;0;0;0
Derby South;PJ Noel-Baker;8;Derbyshire;54675;16572;23081;3408;0;0;0
Derbyshire North East;H White;8;Derbyshire;68537;17621;34965;0;0;0;0
Derbyshire South East;AJ Champion;8;Derbyshire;60476;24039;25620;0;0;0;0
Derbyshire West;EB Wakefield;8;Derbyshire;44170;21052;14296;0;0;0;0
Devizes;HP Pott;10;Wiltshire;49047;20317;18242;0;0;0;0
Devon North;J Lindsay;10;Devon;43906;16784;7272;11558;0;0;0
Dewsbury;WT Paling;5;West Yorkshire;55257;15869;23286;5516;0;0;0
Don Valley;T Williams;5;South Yorkshire;64210;13701;38433;0;0;0;0
Doncaster;APL Barber;5;South Yorkshire;58117;24598;22938;0;0;0;0
Dorking;G Touche;12;Surrey;47328;24451;11942;0;0;0;0
Dorset North;RF Crouch;10;Dorset;44142;18906;5633;11747;0;0;0
Dorset South;Visc Hinchingbrooke;10;Dorset;55039;22119;16702;4798;0;0;0
Dorset West;KSDW Digby;10;Dorset;44026;21007;14244;0;0;0;0
Dover;JS-W Arbuthnot;12;Kent;63064;27316;24298;0;0;0;0
Dudley;GEC Wigg;7;Black Country;71651;20333;31384;5479;0;0;0
Dulwich;RCD Jenkins;11;Lambeth;66495;25333;23482;3501;0;0;0
Durham North West;JW Ainsley;3;Durham;50885;13110;27116;0;0;0;0
Durham, City Of;CF Grey;3;Durham;61729;16640;32412;0;0;0;0
Ealing North;JW Barter;11;Ealing;58245;23040;22794;3770;0;0;0
Ealing South;AEU Maude;11;Ealing;56046;25992;13462;4182;0;0;0
Easington;E Shinwell;3;Durham;54748;9095;34352;0;0;0;0
East Grinstead;TA Emmet;12;West Sussex;61567;28450;11750;6034;0;0;0
East Ham North;P Daines;11;Tower Hamlets;40548;12416;17961;0;0;0;0
East Ham South;AE Oram;11;Tower Hamlets;42282;11109;19808;0;0;0;0
Eastbourne;C Taylor;12;East Sussex;59810;29779;15561;0;0;0;0
Eastleigh;DEC Price;12;Hampshire;48929;20215;19670;0;0;0;0
Eccles;WT Proctor;4;Central Manchester;59382;23025;25351;0;0;0;0
Edmonton;AH Albu;11;Enfield;71739;23194;30232;0;0;0;0
Enfield East;EAJ Davies;11;Enfield;47197;13957;21658;0;0;0;0
Enfield West;IN Macleod;11;Enfield;41595;22021;10503;0;0;0;0
Epping;GB Finlay;9;Essex;68184;26065;22542;7528;0;0;0
Epsom;PAG Rawlinson;12;Surrey;66379;36779;14706;0;0;0;0
Erith and Crayford;NN Dodds;11;Bexley;52253;16339;24957;0;0;0;0
