Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Aldershot;J M G Critchley;12;Hampshire;80797;35272;7061;17488;0;0;0
Aldridge-Brownhills;R C S Shepherd;7;Black Country;62129;26434;14038;0;0;9084;0
Altrincham and Sale;Sir Fergus Montgomery;4;Central Manchester;67611;27746;10617;13518;0;0;0
Amber Valley;P A C L Oppenheim;8;Derbyshire;68478;28603;19103;7904;0;0;0
Arundel;R M Marshall;12;West Sussex;78683;34356;6177;15476;0;0;0
Ashfield;D F Haynes;8;Nottinghamshire;70937;18412;22812;13542;0;0;0
Ashford;H K Speed;12;Kent;70052;29978;7775;0;0;14490;778
Ashton-under-Lyne;Rt Hon R E Sheldon;4;Eastern Manchester;58440;13103;22389;7760;0;0;0
Aylesbury;Rt Hon T H F Raison;12;Buckinghamshire;76919;32970;7936;0;0;16412;0
Banbury;A B Baldry;12;Oxfordshire;69455;29716;10789;0;0;12386;0
Barking;Ms J Richardson;11;Barking and Dagenham;51639;11898;15307;7336;0;0;0
Barnsley Central;E E Illsley;5;South Yorkshire;55902;7088;26139;5928;0;0;0
Barnsley East;T Patchett;5;South Yorkshire;53505;5437;28948;4482;0;0;0
Barnsley West and Penistone;A McKay;5;South Yorkshire;61091;12307;26498;0;0;7409;0
Barrow and Furness;C S Franks;4;Cumbria;69288;25431;21504;0;0;7799;0
Basildon;D A A Amess;9;Essex;68500;21858;19209;9139;0;0;0
Basingstoke;A R F Hunter;12;Hampshire;78003;33657;10632;0;0;15764;0
Bassetlaw;J W Ashton;8;Nottinghamshire;68043;19772;25385;0;0;7616;0
Bath;C F Patten;10;Bristol Area;65246;23515;5507;0;0;22103;687
Batley and Spen;Mrs E J Peacock;5;West Yorkshire;74347;25512;24150;0;0;8372;689
Battersea;J C Bowis;11;Wandsworth;66979;20945;20088;0;0;5634;675
Beaconsfield;T J Smith;12;Buckinghamshire;67713;33324;5203;11985;0;0;0
Beckenham;Sir P C Goodhart;11;Bromley;60110;24903;7888;11439;0;0;0
Bedfordshire Mid;N W Lyell QC;9;Bedfordshire;80673;37411;11463;0;0;14560;0
Bedfordshire North;T H H Skeet;9;Bedfordshire;73536;29845;13140;13340;0;0;435
Bedfordshire South West;W D Madel;9;Bedfordshire;78956;36140;11352;0;0;13835;822
Berkshire East;A J MacKay;12;Berkshire;87820;39094;9287;0;0;16468;0
Berwick-upon-Tweed;A J Beith;3;Northumberland;54378;12400;7360;21903;0;0;379
Bethnal Green and Stepney;Rt Hon P D Shore;11;Tower Hamlets;55769;6176;15490;10206;0;0;232
Beverley;J D Cran;5;Humber area;78923;31459;9901;18864;0;0;0
Bexhill and Battle;C F Wardle;12;East Sussex;65288;33570;3903;0;0;13051;0
Bexleyheath;C D Townsend;11;Bexley;59448;24866;8218;13179;0;0;0
Billericay;Mrs T E Gorman;9;Essex;79535;33741;11942;0;0;15755;0
Birkenhead;F Field;4;Merseyside;65662;12511;27883;7095;0;0;0
Birmingham Edgbaston;Dame Jill Knight;7;Birmingham;54416;18595;10014;0;0;7843;866
Birmingham Erdington;R Corbett;7;Birmingham;54179;14570;17037;0;0;5530;0
Birmingham Hall Green;A R Hargreaves;7;Birmingham;61148;20478;12857;0;0;12323;0
Birmingham Hodge Hill;T A G Davis;7;Birmingham;59296;15083;19872;5868;0;0;0
Birmingham Ladywood;Ms C Short;7;Birmingham;58761;11943;21971;0;0;3532;650
Birmingham Northfield;R D King;7;Birmingham;73319;24024;20889;0;0;8319;0
Birmingham Perry Barr;J W Rooker;7;Birmingham;73767;18961;25894;6514;0;0;0
Birmingham Selly Oak;A M Beaumont-Dark;7;Birmingham;72213;23305;20721;8128;0;0;611
Birmingham Small Heath;Rt Hon D H Howell;7;Birmingham;56722;7266;22787;3600;0;0;713
Birmingham Sparkbrook;Rt Hon R S G Hattersley;7;Birmingham;53093;8654;20513;0;0;3803;755
Birmingham Yardley;A D G Bevan;7;Birmingham;56957;17931;15409;8734;0;0;0
Bishop Auckland;D Foster;3;Durham;72147;18613;25648;9195;0;0;0
Blaby;Rt Hon N Lawson;8;Leicestershire;77094;37732;9046;15556;0;0;0
Blackburn;J W Straw;4;Lancashire;74801;22468;27965;0;0;5602;0
Blackpool North;N A Miscampbell QC;4;Lancashire;58893;20680;13359;9032;0;0;0
Blackpool South;Rt Hon Sir Peter A R Blaker;4;Lancashire;57567;20312;13568;0;0;8405;0
Blaydon;J D McWilliam;3;Newcastle area;66301;12147;25277;0;0;12789;0
Blyth Valley;R Campbell;3;Northumberland;59104;7823;19604;0;0;18751;0
Bolsover;D E Skinner;8;Derbyshire;65452;14333;28453;0;0;7836;0
Bolton North East;P G Thurnham;4;Western Manchester;59382;20742;19929;0;0;6060;0
Bolton South East;D W Young;4;Western Manchester;65932;15410;26791;7161;0;0;0
Bolton West;Hon T G Sackville;4;Western Manchester;69843;24779;20186;10936;0;0;0
Boothferry;D M Davis;5;Humber area;75176;31716;12498;12746;0;0;0
Bootle;A Roberts;4;Merseyside;71765;10498;34975;0;0;6820;0
Bosworth;D A S Tredinnick;8;Leicestershire;77186;34145;10787;17129;0;0;660
Bournemouth East;D A Atkinson;10;Dorset;75232;30925;5885;16242;0;0;0
Bournemouth West;J V Butterfill;10;Dorset;74444;30117;7018;0;0;17466;0
Bow and Poplar;Ms M Gordon;11;Tower Hamlets;59178;6810;15746;11115;0;0;274
Bradford North;C P Wall;5;West Yorkshire;67430;19376;21009;0;0;8656;0
Bradford South;G R Cryer;5;West Yorkshire;69588;20921;21230;0;0;9109;0
Bradford West;M F Madden;5;West Yorkshire;70763;18224;25775;0;0;5657;0
Braintree;A H Newton OBE;9;Essex;76994;32978;11764;0;0;16121;0
Brent East;K R Livingstone;11;Brent;61020;15119;16772;0;0;5710;1751
Brent North;Dr R R Boyson;11;Brent;63081;26823;11103;0;0;6868;0
Brent South;P Boateng;11;Brent;62772;13209;21140;6375;0;0;0
Brentford and Isleworth;Sir Barney J Hayhoe;11;Hounslow;71715;26230;18277;0;0;9626;849
Brentwood and Ongar;R A McCrindle;9;Essex;67521;32258;7042;13337;0;0;686
Bridgwater;Rt Hon T J King;10;Somerset;67480;27177;9594;0;0;15982;0
Bridlington;J E Townend;5;Humber area;80126;32351;10653;0;0;15030;983
Brigg and Cleethorpes;M R Brown;5;Humber area;80096;29723;13876;17475;0;0;0
Brighton Kemptown;A Bowden MBE;12;East Sussex;60271;24031;14771;6080;0;0;0
Brighton Pavilion;Rt Hon H J Amery;12;East Sussex;58910;22056;12914;0;0;8459;0
Bristol East;J Sayeed;10;Bristol Area;63840;21906;17783;10247;0;0;286
Bristol North West;M C Stern;10;Bristol Area;72876;26953;20001;0;0;10885;0
Bristol South;Ms D Primarolo;10;Bristol Area;68733;19394;20798;0;0;9952;749
Bristol West;Hon W A Waldegrave;10;Bristol Area;72357;24695;11337;16992;0;0;1230
Bromsgrove;H D Miller;7;Hereford and Worcestershire;69494;29051;12366;0;0;11663;0
Broxbourne;Mrs M A Roe;9;Hertfordshire;70631;33567;8984;10572;0;0;0
Broxtowe;J T Lester;8;Nottinghamshire;71780;30462;13811;12562;0;0;0
Buckingham;G G H Walden CMG;12;Buckinghamshire;70036;32162;9053;13636;0;0;0
Burnley;P L Pike;4;Lancashire;65956;17583;25140;0;0;9241;0
Burton;I J Lawrence QC;7;Staffordshire;73252;29160;19330;9046;0;0;0
Bury North;A J H Burt;4;Western Manchester;67961;28097;21186;6804;0;0;0
Bury South;D A G Sumberg;4;Western Manchester;65039;23878;21199;0;0;6772;0
Bury St Edmunds;Sir Eldon W Griffiths;9;Suffolk;76619;33672;9841;0;0;12214;1057
Calder Valley;D Thompson;5;West Yorkshire;73398;25892;19847;13761;0;0;0
Cambridge;R V R Rhodes-James;9;Cambridgeshire;69336;21624;15319;0;0;16564;597
Cambridgeshire North East;M D Moss;9;Cambridgeshire;74231;26983;4891;25555;0;0;0
Cambridgeshire South East;J E T Paice;9;Cambridgeshire;73216;32901;7694;0;0;15399;0
Cambridgeshire South West;Sir J Anthony Grant;9;Cambridgeshire;81658;36622;8434;18371;0;0;0
Cannock and Burntwood;J G D Howarth;7;Staffordshire;68137;24186;21497;8698;0;0;0
Canterbury;J W H Brazier;12;Kent;76062;30273;9494;15382;0;0;1104
Carlisle;E A Martlew;4;Cumbria;55053;17395;18311;0;0;7655;0
Carshalton and Wallington;F N Forman;11;Sutton;69120;27984;9440;0;0;13575;843
Castle Point;Sir Bernard R Braine;9;Essex;65992;29681;9422;0;0;10433;0
Cheadle;S R Day;4;Eastern Manchester;68332;30484;5037;19853;0;0;0
Chelmsford;S H M Burns;9;Essex;82564;35231;4642;27470;0;0;486
Chelsea;N P Scott MBE;11;Kensington and Chelsea;49534;18443;4406;5124;0;0;587
Cheltenham;C G Irving;10;Gloucestershire;79234;31371;4701;26475;0;0;0
Chertsey and Walton;G E Pattie;12;Surrey;71448;32119;7185;0;0;14650;0
Chesham and Amersham;Rt Hon Sir I H J L Gilmour;12;Buckinghamshire;71751;34504;5170;15064;0;0;760
Chester, City Of;Hon P H Morrison;4;Cheshire;65845;23582;18727;10262;0;0;0
Chesterfield;Rt Hon A N W Benn;8;Derbyshire;70357;13472;24532;15955;0;0;0
Chichester;R A Nelson;12;West Sussex;81019;37274;4751;17097;0;0;1196
Chingford;Rt Hon N B Tebbit;11;Waltham Forest;56797;27110;6650;9155;0;0;634
Chipping Barnet;S B Chapman;11;Barnet;60876;24686;8115;9815;0;0;0
Chislehurst;R E Sims;11;Bromley;55535;24165;8115;9658;0;0;0
Chorley;D R Dover;4;Lancashire;78541;29015;20958;9706;0;0;714
Christchurch;R J Adley;10;Dorset;70964;35656;5174;0;0;13282;0
Cirencester and Tewkesbury;Rt Hon N Ridley;10;Gloucestershire;84071;36272;5342;23610;0;0;283
City of London and Westminster South;Hon P L Brooke;11;City of Westminster;57428;19333;6821;0;0;7291;0
Colchester North;Sir P Anthony F Buck;9;Essex;82420;32747;10768;0;0;19124;0
Colchester South and Maldon;Rt Hon J Wakeham;9;Essex;84392;34894;9229;0;0;19411;0
Colne Valley;G E G Riddick;5;West Yorkshire;70199;20457;16353;18780;0;0;614
Congleton;Mrs J A Winterton;4;Cheshire;68172;26513;9810;18544;0;0;0
Copeland;J A Cunningham;4;Cumbria;54695;19105;20999;0;0;4052;319
Corby;W R Powell;8;Northamptonshire;66119;23323;21518;7805;0;0;0
Cornwall North;G A Neale;10;Cornwall;72375;29862;3719;24180;0;0;0
Cornwall South East;R A Hicks;10;Cornwall;70248;28818;4847;22211;0;0;0
Coventry North East;J Hughes;7;Coventry and Solihull;67479;13965;25832;7502;0;0;310
Coventry North West;G Robinson;7;Coventry and Solihull;53090;13787;19450;0;0;6455;0
Coventry South East;D J Nellist;7;Coventry and Solihull;51880;11316;17969;0;0;8095;479
Coventry South West;J P Butcher;7;Coventry and Solihull;65567;22318;19108;10166;0;0;0
Crawley;Hon A N W Soames;12;West Sussex;72076;29259;17121;0;0;12674;0
Crewe and Nantwich;Hon Mrs G P Dunwoody;4;Cheshire;72961;24365;25457;0;0;8022;0
Crosby;G M Thornton;4;Merseyside;83914;30836;11992;0;0;23989;0
Croydon Central;J E M Moore;11;Croydon;55410;22133;9516;0;0;7435;0
Croydon North East;Rt Hon B B Weatherill;11;Croydon;63129;24188;11669;0;0;8128;0
Croydon North West;H J Malins;11;Croydon;57369;18665;14677;6363;0;0;0
Croydon South;Sir W G Clark;11;Croydon;65085;30732;4679;11669;0;0;900
Dagenham;B C Gould;11;Barking and Dagenham;61714;15985;18454;0;0;7088;0
Darlington;M C Fallon;3;Teesside;65940;24831;22170;6289;0;0;0
Dartford;R J Dunn;12;Kent;72632;30685;15756;0;0;10439;491
Daventry;T E Boswell;8;Northamptonshire;69241;31353;11097;11663;0;0;0
Davyhulme;W S Churchill;4;Central Manchester;65558;23633;15434;11637;0;0;0
Denton and Reddish;A F Bennett;4;Eastern Manchester;69533;17773;26023;0;0;8697;0
Derby North;G Knight;8;Derbyshire;71738;26561;20236;7268;0;0;291
Derby South;Mrs M M Beckett;8;Derbyshire;68825;19487;21003;0;0;7608;0
Derbyshire North East;H Barnes;8;Derbyshire;70314;21027;24747;0;0;9985;0
Derbyshire South;Mrs E Currie;8;Derbyshire;80045;31927;21616;0;0;11509;0
Derbyshire West;P A McLoughlin;8;Derbyshire;70782;31224;6875;20697;0;0;0
Devizes;Hon C A Morrison;10;Wiltshire;86047;36372;11487;18542;0;0;0
Devon North;A Speller;10;Devon;67474;28071;3467;23602;0;0;0
Dewsbury;Mrs W A Taylor;5;West Yorkshire;70836;23223;23668;0;0;8907;0
Don Valley;M Redmond;5;South Yorkshire;74500;17733;29200;8027;0;0;0
Doncaster Central;Rt Hon H Walker;5;South Yorkshire;69699;18070;26266;0;0;7004;0
Doncaster North;M C Welsh;5;South Yorkshire;72986;13015;32950;0;0;7394;0
Dorset North;N B Baker;10;Dorset;72844;32854;3819;20947;0;0;0
Dorset South;I Bruce;10;Dorset;72855;30184;9494;15117;0;0;244
Dorset West;J W Spicer;10;Dorset;64360;28305;6123;15941;0;0;0
Dover;D L Shaw;12;Kent;68997;25343;18802;0;0;10942;0
Dudley East;Rt Hon J W Gilbert;7;Black Country;75206;21469;24942;0;0;7965;0
Dudley West;J G Blackburn;7;Black Country;81789;32224;21980;10477;0;0;0
Dulwich;G F Bowden;11;Lambeth;56355;16563;16383;0;0;5664;432
Durham North;G H Radice;3;Durham;72115;11602;30798;0;0;12365;0
Durham North West;Ms H J Armstrong;3;Durham;61302;12785;22947;9349;0;0;0
Durham, City Of;G N Steinberg;3;Durham;66567;11408;23382;0;0;17257;0
Ealing Acton;Sir G S K Young Bt;11;Ealing;67176;25499;13256;0;0;8973;0
Ealing North;H Greenway;11;Ealing;71634;30100;14947;8149;0;0;577
Ealing Southall;S J Bidwell;11;Ealing;74843;18503;26480;6947;0;0;256
Easington;J S Cummings;3;Durham;64863;7757;32396;7447;0;0;0
East Lindsey;Sir Peter H B Tapsell;8;Lincolnshire;74027;29048;6206;20432;0;0;0
Eastbourne;I R E Gow TD;12;East Sussex;74144;33587;4928;16664;0;0;867
Eastleigh;Sir D E C Price;12;Hampshire;87552;35584;11599;22229;0;0;0
Eccles;Miss J Lestor;4;Central Manchester;66961;15647;25346;0;0;8924;0
Eddisbury;A R Goodlad;4;Cheshire;73894;29474;13574;13639;0;0;976
Edmonton;I D Twinn;11;Enfield;66080;24556;17270;0;0;6115;0
Ellesmere Port and Neston;M Woodcock;4;Cheshire;71344;25664;23811;0;0;8143;185
Elmet;S L Batiste;5;West Yorkshire;69024;25658;20302;0;0;8755;0
Eltham;P J Bottomley;11;Greenwich;54063;19752;13292;8542;0;0;0
Enfield North;T J C Eggar;11;Enfield;69488;28758;14743;0;0;7633;644
Enfield Southgate;M D X Portillo;11;Enfield;66600;28445;9114;10100;0;0;696
Epping Forest;Sir J A Biggs-Davison;9;Essex;67804;31536;9499;0;0;10023;695
Epsom and Ewell;Hon A G Hamilton;12;Surrey;70683;33145;7751;12384;0;0;0
Erewash;P L Rost;8;Derbyshire;76545;28775;19021;0;0;11442;0
Erith and Crayford;D A Evennett;11;Bexley;59292;20203;13209;0;0;11300;0
Esher;I C Taylor;12;Surrey;62117;31334;4197;12266;0;0;0
Exeter;J G Hannam;10;Devon;75208;26922;13643;0;0;19266;806
Falmouth and Camborne;W D Mudd;10;Cornwall;68612;23725;11271;0;0;18686;373
Fareham;P R C Lloyd;12;Hampshire;76974;36781;5451;17986;0;0;0
Faversham;R D Moate;12;Kent;79039;31074;12616;0;0;17096;0
Feltham and Heston;R P Ground QC;11;Hounslow;81062;27755;22325;0;0;9623;0
Finchley;Rt Hon Mrs M H Thatcher;11;Barnet;57727;21603;12690;5580;0;0;190
Folkestone and Hythe;M Howard;12;Kent;64406;27915;3720;18789;0;0;0
Fulham;M H M Carrington;11;Hammersmith and Fulham;54498;21752;15430;0;0;4365;465
Fylde;J M Jack;4;Lancashire;63246;29559;6955;11787;0;0;405
Gainsborough and Horncastle;E J E Leigh;8;Lincolnshire;69760;28621;6156;18898;0;0;0
Gateshead East;Miss J G Quin;3;Newcastle area;67953;11667;28895;0;0;8231;0
Gedling;A J B Mitchell;8;Nottinghamshire;68398;29492;12953;0;0;11684;0
Gillingham;J R Couchman;12;Kent;71847;28711;9230;16162;0;0;0
Glanford and Scunthorpe;E Morley;5;Humber area;72816;24221;24733;0;0;7762;104
Gloucester;D French;10;Gloucestershire;76910;29826;17791;12417;0;0;0
Gloucestershire West;P Marland;10;Gloucestershire;77994;29257;17578;0;0;16440;0
Gosport;P J Viggers;12;Hampshire;68113;29804;5053;16081;0;0;0
Grantham;Hon D M Hogg;8;Lincolnshire;79434;33988;12197;12685;0;0;700
Gravesham;J A Arnold;12;Kent;72759;28891;20099;8724;0;0;0
Great Grimsby;A V Mitchell;5;Humber area;68501;14679;23463;0;0;13457;0
Great Yarmouth;M R H Carttiss;9;Norfolk;65770;25336;15253;0;0;8387;0
Greenwich;Mrs R S Barnes;11;Greenwich;50830;8695;13008;0;0;15149;463
Guildford;Rt Hon D A R Howell;12;Surrey;77872;32504;6216;0;0;19897;0
Hackney North and Stoke Newington;Ms D J Abbott;11;Hackney;66771;11234;18912;0;0;7446;1225
Hackney South and Shoreditch;B C J Sedgemore;11;Hackney;70873;11277;18799;8812;0;0;403
Halesowen and Stourbridge;J H R Stokes;7;Black Country;78017;31037;17229;0;0;13658;0
Halifax;Mrs A Mahon;5;West Yorkshire;73392;23529;24741;0;0;8758;0
Halton;Rt Hon G J Oakes;4;Cheshire;73848;17487;32065;0;0;8272;0
