Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Abingdon;T Benyon;12;Berkshire;96447;41211;18920;16164;0;0;381
Accrington;A Davidson;4;Lancashire;50822;16282;19576;3646;0;0;508
Acton;Sir G Young;11;Ealing;56875;21056;15258;3549;0;0;744
Aldershot;JMG Critchley;12;Hampshire;86516;38014;13698;14438;0;0;0
Aldridge-Brownhills;R Shepherd;7;Black Country;63377;26289;20621;5398;0;0;0
Altrincham and Sale;WF Montgomery;4;Central Manchester;74547;29873;14643;12603;0;0;796
Arundel;RM Marshall;12;West Sussex;91638;43968;10509;13208;0;0;0
Ashfield;F Haynes;8;Nottinghamshire;77878;25319;33116;3914;0;0;397
Ashford;K Speed;12;Kent;61460;26224;12586;7631;0;0;678
Ashton-under-Lyne;RE Sheldon;4;Eastern Manchester;58588;16156;24535;3699;0;0;486
Aylesbury;THF Raison;12;Buckinghamshire;74646;33953;14091;10248;0;0;0
Banbury;HN Marten;12;Oxfordshire;72611;31137;16623;8658;0;0;504
Barking;Miss J Richardson;11;Barking and Dagenham;48289;11103;18111;3679;0;0;1421
Barkston Ash;MJH Alison;5;North Yorkshire;91890;40381;21670;7909;0;0;1829
Barnsley;R Mason;5;South Yorkshire;77699;13654;36276;5751;0;0;986
Barrow-in-Furness;AE Booth;4;Cumbria;54451;14946;22687;4983;0;0;0
Basildon;KH Proctor;9;Essex;103595;37919;32739;9280;0;0;880
Basingstoke;DB Mitchell;12;Hampshire;99124;42625;20879;14605;0;0;676
Bassetlaw;JW Ashton;8;Nottinghamshire;73763;22247;29426;6913;0;0;0
Bath;Chris Patten;10;Bristol Area;63575;23025;11407;13913;0;0;1288
Batley and Morley;KJ Woolmer;5;West Yorkshire;62871;17632;22984;4943;0;0;1308
Battersea North;DPT Jay;11;Wandsworth;41435;9358;15834;2021;0;0;953
Battersea South;A Dubs;11;Wandsworth;43712;13652;13984;2802;0;0;561
Beaconsfield;RM Bell;12;Buckinghamshire;67961;31938;10443;8853;0;0;548
Bebington and Ellesmere Port;B Porter;4;Cheshire;91816;32488;32002;9591;0;0;0
Beckenham;PC Goodhart;11;Bromley;57939;24607;10856;6450;0;0;1368
Bedford;THH Skeet;9;Bedfordshire;77315;31140;18727;10129;0;0;813
Bedfordshire Mid;SLE Hastings;9;Bedfordshire;81564;37724;17140;11467;0;0;0
Bedfordshire South;WD Madel;9;Bedfordshire;73247;32988;16505;8402;0;0;626
Beeston;JT Lester;8;Nottinghamshire;77802;33273;23077;6935;0;0;0
Belper;Mrs S Faith;8;Derbyshire;73341;27193;26311;7331;0;0;460
Bermondsey;RJ Mellish;11;Southwark;51246;7582;19338;2072;0;0;1414
