Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Abingdon;AMS Neave;12;Berkshire;72575;27749;24447;7703;0;0;0
Accrington;A Davidson;4;Lancashire;48412;14508;21330;4375;0;0;0
Acton;BFC Floud;11;Ealing;43464;13600;18541;0;0;0;0
Aldershot;E Errington;12;Hampshire;69612;25672;16776;10025;0;0;0
Altrincham and Sale;APL Barber;4;Central Manchester;66083;24736;17899;8891;0;0;0
Arundel and Shoreham;HB Kerby;12;West Sussex;87743;36913;18817;10816;0;0;0
Ashfield;DI Marquand;8;Nottinghamshire;62030;11991;33477;0;0;0;0
Ashford;WF Deedes;12;Kent;56669;21362;13249;8121;0;0;0
Ashton-under-Lyne;RE Sheldon;4;Eastern Manchester;57159;17396;24728;0;0;0;0
Aylesbury;GS Summers;12;Buckinghamshire;65968;23673;19766;9272;0;0;0
Banbury;HN Marten;12;Oxfordshire;74279;28932;24529;7407;0;0;0
Barking;TEN Driberg;11;Barking and Dagenham;48281;7584;22994;4181;0;0;0
Barkston Ash;MJH Alison;5;North Yorkshire;62650;28183;21841;0;0;0;0
Barnet;R Maudling;11;Barnet;65487;24833;19347;8539;0;0;0
Barnsley;R Mason;5;South Yorkshire;69751;12456;38744;0;0;0;0
Barons Court;IS Richard;11;Hammersmith and Fulham;43830;13551;17021;2384;0;0;0
Barrow-in-Furness;AE Booth;4;Cumbria;50711;15453;23485;0;0;0;0
Basingstoke;DB Mitchell;12;Hampshire;72397;26076;22417;8379;0;0;0
Bassetlaw;FJ Bellenger;8;Nottinghamshire;61154;17195;27623;0;0;0;0
Bath;EJ Brown;10;Bristol Area;55891;19344;18544;7095;0;0;0
Batley and Morley;ADD Broughton;5;West Yorkshire;56936;12435;24086;6366;0;0;0
Battersea North;DPT Jay;11;Wandsworth;34048;5350;15522;0;0;0;650
Battersea South;EG Perry;11;Wandsworth;35350;9861;13651;2276;0;0;0
Bebington;E Brooks;4;Merseyside;73652;28208;30545;0;0;0;0
Beckenham;PC Goodhart;11;Bromley;71952;28837;14972;12155;0;0;0
Bedford;BS Parkyn;9;Bedfordshire;60352;21879;22257;5080;0;0;0
Bedfordshire Mid;S Hastings;9;Bedfordshire;61923;23447;20369;7138;0;0;0
Bedfordshire South;GE Roberts;9;Bedfordshire;86403;30319;34549;7484;0;0;0
Belper;GA Brown;8;Derbyshire;76914;30221;34495;0;0;0;0
Bermondsey;RJ Mellish;11;Southwark;33811;3990;16605;0;0;0;0
Berwick-upon-Tweed;Visc. Lambton;3;Northumberland;39155;14281;9908;5796;0;0;0
Bethnal Green;WS Hilton;11;Tower Hamlets;50180;4925;20178;3841;0;0;0
Bexley;ERG Heath;11;Bexley;63885;26377;24044;4405;0;0;0
Billericay;E Moonman;9;Essex;102198;38371;40013;7587;0;0;0
Bilston;R Edwards;7;Black Country;71482;22541;29794;0;0;0;0
Birkenhead;E Dell;4;Merseyside;55225;15438;24188;0;0;0;604
Birmingham All Saints;AB Walden;7;Birmingham;42896;11595;16350;0;0;0;0
Birmingham Aston;J Silverman;7;Birmingham;52975;13316;20716;0;0;0;0
