Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Abingdon;AMS Neave;12;Berkshire;85728;36209;23136;7198;0;0;0
Accrington;A Davidson;4;Lancashire;51188;20234;20828;0;0;0;0
Acton;N Spearing;11;Ealing;43688;13300;13960;1583;0;0;258
Aldershot;JMG Critchley;12;Hampshire;84511;33447;18916;7551;0;0;0
Altrincham and Sale;APL Barber;4;Central Manchester;70755;27904;16671;7875;0;0;0
Arundel and Shoreham;HB Kerby;12;West Sussex;100507;43907;16531;11769;0;0;0
Ashfield;DI Marquand;8;Nottinghamshire;67681;15089;32372;0;0;0;0
Ashford;WF Deedes;12;Kent;66975;26649;14037;7902;0;0;0
Ashton-under-Lyne;RE Sheldon;4;Eastern Manchester;61468;19973;23927;0;0;0;0
Aylesbury;THF Raison;12;Buckinghamshire;77358;31084;20441;6849;0;0;0
Banbury;HN Marten;12;Oxfordshire;88852;36712;25166;6859;0;0;0
Barking;TEN Driberg;11;Barking and Dagenham;49363;9309;21097;0;0;0;0
Barkston Ash;MJH Alison;5;North Yorkshire;78127;35198;23861;0;0;0;0
Barnet;R Maudling;11;Barnet;71828;26845;18166;6329;0;0;0
Barnsley;R Mason;5;South Yorkshire;75743;10811;34956;8186;0;0;0
Barons Court;IS Richard;11;Hammersmith and Fulham;41401;12269;13374;2206;0;0;0
Barrow-in-Furness;AE Booth;4;Cumbria;54198;17536;22400;0;0;0;0
Basingstoke;DB Mitchell;12;Hampshire;91958;35138;25664;8183;0;0;0
Bassetlaw;JW Ashton;8;Nottinghamshire;69049;20698;28959;3125;0;0;0
Bath;EJ Brown;10;Bristol Area;59194;22344;16493;5957;0;0;840
Batley and Morley;ADD Broughton;5;West Yorkshire;63086;15753;23024;6893;0;0;0
Battersea North;DPT Jay;11;Wandsworth;30226;4927;11621;1012;0;0;179
Battersea South;EG Perry;11;Wandsworth;34687;9227;10925;1183;0;0;716
Bebington;EP Cockeram;4;Merseyside;81913;31260;30535;0;0;0;0
Beckenham;PC Goodhart;11;Bromley;77459;30763;13031;9404;0;0;0
Bedford;THH Skeet;9;Bedfordshire;67414;26330;21051;4740;0;0;0
Bedfordshire Mid;SLE Hastings;9;Bedfordshire;73116;29670;19035;7799;0;0;0
Bedfordshire South;WD Madel;9;Bedfordshire;101284;38085;33107;6956;0;0;0
Belper;DG Stewart-Smith;8;Derbyshire;86642;35757;33633;0;0;0;0
Bermondsey;RJ Mellish;11;Southwark;34174;4172;13908;0;0;0;0
Berwick-upon-Tweed;ACF Lambton;3;Northumberland;41731;15558;8413;6741;0;0;0
Bethnal Green;WS Hilton;11;Tower Hamlets;47830;5587;15483;3030;0;0;0
Bexley;ERG Heath;11;Bexley;67062;27075;19017;3222;0;0;1771
Billericay;RA McCrindle;9;Essex;123297;47719;43765;0;0;0;0
Bilston;RJ Edwards;7;Black Country;77060;26240;27240;0;0;0;0
Birkenhead;EE Dell;4;Merseyside;58512;15151;20980;4926;0;0;351
Birmingham All Saints;AB Walden;7;Birmingham;36316;7762;12041;2271;0;0;0
Birmingham Aston;J Silverman;7;Birmingham;47693;11894;15456;0;0;0;704
Birmingham Edgbaston;JCJ Knight;7;Birmingham;58868;23690;13047;0;0;0;725
Birmingham Hall Green;RE Eyre;7;Birmingham;66810;27319;17930;0;0;0;0
Birmingham Handsworth;SB Chapman;7;Birmingham;46648;16122;14310;0;0;0;0
Birmingham Ladywood;DMG Fisher;7;Birmingham;18771;2523;5067;4087;0;0;0
Birmingham Northfield;RJ Carter;7;Birmingham;96754;32148;33364;0;0;0;605
Birmingham Perry Barr;JR Kinsey;7;Birmingham;49465;18083;16817;0;0;0;0
Birmingham Selly Oak;HE Gurden;7;Birmingham;54742;18281;16758;0;0;0;0
Birmingham Small Heath;DH Howell;7;Birmingham;39013;6923;13794;1754;0;0;117
Birmingham Sparkbrook;RSG Hattersley;7;Birmingham;43168;11427;14773;1813;0;0;0
Birmingham Stechford;RH Jenkins;7;Birmingham;62918;15848;22559;0;0;0;1736
Birmingham Yardley;DM Coombs;7;Birmingham;62463;21827;21707;0;0;0;0
Bishop Auckland;HJ Boyden;3;Durham;49335;13769;21257;0;0;0;0
Blackburn;B Castle;4;Lancashire;55875;19737;22473;0;0;0;0
Blackpool North;NA Miscampbell;4;Lancashire;58913;22298;13062;4946;0;0;0
Blackpool South;PAR Blaker;4;Lancashire;58959;21273;13267;5730;0;0;0
Blaydon;RE Woof;3;Newcastle area;54838;13926;25724;0;0;0;0
Blyth;EJ Milne;3;Northumberland;67969;12550;36118;0;0;0;0
Bodmin;RA Hicks;10;Cornwall;51866;20187;5350;16267;0;0;0
Bolsover;DE Skinner;8;Derbyshire;52571;8371;28830;0;0;0;0
Bolton East;LD Reed;4;Western Manchester;61318;22769;22298;0;0;0;0
Bolton West;RS Redmond;4;Western Manchester;50285;19225;17981;0;0;0;0
Bootle;S Mahon;4;Merseyside;48467;11496;20110;0;0;0;0
Bosworth;AC Butler;8;Leicestershire;78310;30732;29677;0;0;0;0
Bournemouth East and Christchurch;JH Cordle;10;Dorset;70448;31104;10594;8182;0;0;0
Bournemouth West;JB Eden;10;Dorset;73779;28714;14099;8303;0;0;0
Bradford East;E Lyons;5;South Yorkshire;40485;8208;17346;660;0;0;0
Bradford North;BT Ford;5;West Yorkshire;52344;18511;20141;0;0;0;0
Bradford South;TW Torney;5;West Yorkshire;63443;19009;20985;5694;0;0;0
Bradford West;JAD Wilkinson;5;West Yorkshire;53371;20475;18936;0;0;0;0
Brentford and Chiswick;MCJ Barnes;11;Hounslow;37709;13538;14051;0;0;0;0
Bridgwater;TJ King;10;Somerset;66140;26685;18224;6066;0;0;0
Bridlington;RF Wood;5;Humber area;62780;25053;11546;6495;0;0;0
Brierley Hill;WF Montgomery;7;Black Country;97759;43440;28203;0;0;0;0
Brigg;EL Mallalieu;5;Humber area;87166;27449;31434;0;0;0;0
Brighouse and Spenborough;GW Proudfoot;5;West Yorkshire;61616;22953;22894;3781;0;0;0
Brighton Kemptown;A Bowden;12;East Sussex;65574;24208;21105;3833;0;0;0
Brighton Pavilion;J Amery;12;East Sussex;59150;24365;13771;0;0;0;1205
Bristol Central;AMF Palmer;10;Bristol area;36090;9130;12375;2569;0;0;0
Bristol North East;RJ Adley;10;Bristol Area;63847;23254;22792;0;0;0;0
Bristol North West;M McLaren;10;Bristol Area;64913;24124;23075;3299;0;0;227
Bristol South;MFL Cocks;10;Bristol Area;61441;15254;24682;0;0;0;0
